기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
에너자이,경력신입~10년,회사내규에 따름,서울 강남구 테헤란로27길 27,딥러닝,[전문연구요원 가능] ML Engineer/Researcher 채용,"['AI/인공지능MachineLearningDeepLearningTensorFlowPythonPyTorchKeras', '•  Computer Vision 알고리즘 개발\n\u3000- 다양한 형태의 데이터 처리 (Radar, Smartphone Image, CCTV Image, Industrial Image 등)\n\u3000- Vision 관련 task 수행 (super resolution, detection, inpainting, low lighting 등)\n• 딥러닝 모델 경량화 알고리즘 개발\n\u3000- 주어진 Task 와 Constraint를 고려한 딥러닝 모델 설계 및 경량화 알고리즘 개발(Quantization, NAS 등)\n\u3000- Edge Device 탑재될 경량화된 모델 개발', '• 학부 4학년 이상\n• 해외 여행에 결격 사유가 없으신 분\n• Python을 활용한 프로젝트 수행 경험이 있으신 분\n• 딥러닝 프레임워크(Pytorch, Keras, Tensorflow 등) 을 활용한 프로젝트 수행 경험이 있으신 분\n• 병역특례 지원 가능\n\u3000- 산업기능요원 현역, 전문연구요원(전직, 보충역) 지원 가능하며 이력서에 별도 표기하여 제출 부탁드립니다.', '• 이미지 or 신호 처리, 딥러닝 모델 최적화 (network compression, NAS) 경험이 있으신 분\n• Image enhancement 계열 (super resolution, inpainting, low light imaging 등)의 task 경험이 있으신 분\n• 관련 학회 및 저널 게재 경력자\n• 관련 전공 석사, 박사 학위 보유 시 경력 인정']"
모빌린트,경력신입~20년,회사내규에 따름,"서울 강남구 테헤란로19길 5, 7층",딥러닝,[전문연구요원 가능] Deep Learning Optimization Engineer,"['C++DeepLearningTensorFlowPythonPyTorchC', '• Quantization, Pruning 등 딥러닝 모델 경량화 연구 및 적용\n• HW 최적화를 고려한 딥러닝 모델 아키텍쳐 설계 및 학습\n• 딥러닝 최신 연구 동향 분석', '• 딥러닝 프레임워크(PyTorch, TensorFlow 등) 활용 능력\n• 프로그래밍 언어(Python, C/C++ 등) 활용 능력\n• 수리적, 논리적 분석을 통한 문제 해결 능력\n• 최종 성적증명서 제출 필수', '• 경량화 및 딥러닝 모델, 학습 개발 경험 및 논문 실적이 있으신 분\n• 수학적 사고와 통계, 최적화 등 각종 수학 이론에 대한 이해가 높으신 분\n• NPU 또는 GPU에 대한 이해도가 높으신 분']"
딥브레인에이아이,경력 3~20년,회사내규에 따름,서울 강남구 역삼로 7길 6,딥러닝,머신러닝/딥러닝 엔지니어,"['FFMPEGOpenCVC++MachineLearningDeepLearningTensorFlowPythonPyTorchC', '• 영상처리 알고리듬(모델)개발(landmark detection, 3D reconstraction, image restruction 등)\t\n• 사람의 얼굴, 신체 관련 영상처리', '• 알고리듬(모델)에 기반한 영상처리 개발 및 컴퓨터 그래픽 전공자 또는 경력자 \t\n• ffmpeg, openCV, dlib 등을 개발 경험자\n• 영상 스트리밍 기술 개발 경험', '• 관련 딥러닝 모델 연구/개발자 우대(Tensor Flow, PyTouch)\n• 다양한 프로그래밍 경력\n• 영상처리 또는 컴퓨터공학 전공']"
다비오,경력 3~15년,회사내규에 따름,"서울 마포구 마포대로 144, 8층",딥러닝,딥러닝 엔지니어,"['AI/인공지능OpenCVDeepLearningTensorFlowPythonPyTorch', '• Deep Learning 팀 리드\n• Computer Vision 및 Deep Learning 모델 설계, 구축, 테스트 프로젝트(semantic segmentation, object detection, classification)\n• 연구 논문을 코드로 변환, 결과물 도출\n• 공간 데이터 분석', '• 관련 분야 업무 경력 3년 이상\n• 딥러닝 연구 경험 및 경력이 있으신 분\n• Python 경험과 이해\n• OpenCV, Tensorflow, PyTorch 경험 또는 이해도\n• 기본적인 이미지 처리와 DL 개념의 이해', '• 장애인\n• Shapely, Fiona, and Geopandas을 이용한 지리공간 데이터 분석 경험\n• 기본 수학능력 보유자 (선형대수학, 확률, 통계학 등)\n• 커뮤니케이션 능력 우수자']"
폼즈,경력신입,회사내규에 따름,서울특별시 구로구 디지털로33길 48,딥러닝,딥러닝 엔지니어(Generative 분야),"['SWMachineLearningDeepLearningPythonPyTorch', '• 딥러닝 기반 가상인간 제작 솔루션 개발\n• 연구논문 reimplementation을 통한 기능 개선\n• 하나의 모델셋 구축에 필요한 데이터 가공과정 자동화', '• 딥러닝 소프트웨어 개발 (Pytorch, computer vision 전공자)\n• 가상인간을 제작하는데 있어 정량적  수치뿐만 아니라, 눈으로 확인하는 심미적 결과값까지 포함하여 면밀히 분석할 수 있는 역량\n• 최적의 결과값을 상정하고 그를 달성하기 위한 효율적인 실험을 계획할 수 있는 역량', '• 석/박사출신 우대\n• 영어 능통자\n• PC프로그램 개발 유경험자']"
무브멘토,경력신입,회사내규에 따름,서울 성동구 아차산로 104 무신사스튜디오 401호,딥러닝,AI 빅데이터 엔지니어 / 딥러닝 엔지니어 (빅데이터 실무자 모집),"['AI/인공지능BigDataC++DeepLearningNLPTensorFlowPythonPyTorchDockerC', '딥러닝 엔지니어\n• 딥러닝 영상처리 알고리즘 개발 (페이스스왑 기술 관련)\n• landmark detection, 3D reconstraction,\xa0image restruction 등)\n• 음성처리 알고리즘 개발\n• NLP\n\nAI빅데이터 실무자\n• 이미지 및 영상 데이터 수집\n• 데이터 분류 및 정리매뉴얼 작성\n• 데이터 촬영 일정 조율 및 기타 행정 처리', '• 학력: 학사 이상\n• 경력 신입 가능\n• 파이썬/C/C++및 영상처리, 음성처리, NLP\n• 라이브러리(ffmpeg,opencv, dlib등)\n• 사용 개발 경험\n• 유관 업무 경험자\n• 이미지 및 영상 관련 이해도가 높은분', '• 대학원(석사) 이상\n• 관련 딥러닝 모델 연구/개발자 우대 (Tensor Flow, PyTouch)\n• 알고리즘(모델)에 기반한 영상 처리 및 컴퓨터 그래픽 전공자 또는 경력자\n• 데이터 레이블링/라벨링 업무 경험자\n• 데이터 검수 경험자']"
모빌린트,경력신입~20년,회사내규에 따름,"서울 강남구 테헤란로19길 5, 7층",딥러닝,[전문연구요원 가능] NPU Compiler Engineer,"['C++LinuxDeepLearningPythonc', '• 딥러닝 네트워크 모델을 모빌린트 NPU에서 수행할 수 있는 언어로 변환하는 Backend Compiler 개발\n• 학습된 딥러닝 모델을 최적화를 통해 모빌린트 NPU 상에서 추론 속도를 향상시켜 딥러닝 서비스 개선에 도움을 주는 모델 최적화 엔진 개발\n• 딥러닝 네트워크 모델 연산 최적화를 위한 Simulator 등 검증용 프로그램 개발', '• Math, CS, EE 학위 소유자, 또는 이와 비슷한 경력을 가지신 분\n• 프로그래밍 언어(Python, C/C++ 등) 활용이 능숙하신 분\n• 자기 동기부여 및 배우고자 하는 의지가 강하신 분\n• 팀원간의 협업이 매끄럽고 능숙하신 분', '• 딥러닝 컴파일러(TVM, XLA 등)와 관련된 연구 경험을 가지신 분\n• 2년 이상의 딥러닝 분야 연구 경력을 가지신 분, 또는 관련 분야 논문 실적이 있으신 분\n• 임베디드 시스템 환경에서의 딥러닝 알고리즘 개발 경험을 가지신 분\n• 딥러닝 컴파일러와 관련된 연구 및 개발 경험을 가지신 분\n• 프로그래밍 언어(Python, C/C++ 등) 활용이 능숙하신 분']"
에너자이,경력신입~10년,회사내규에 따름,서울 강남구 테헤란로27길 27,딥러닝,(전문연구요원 가능) AI 컴파일러 엔지니어 채용,"['C++HaskellDeepLearningF#TensorFlowScalaPyTorchC', '• Edge device targeted AI compiler 개발\n• 경량화 파이프라인 시스템 구축\n• Optimizing ML/vision algorithm on DSP/NPU/AP\n\u3000- Preprocessing procedure, deep learning kernel 및 각종 Vision 알고리즘을 DSP/NPU/AP 등에 최적화하여 지연 시간 및 사용 메모리를 최소화\n\u3000- Graph / Kernel level 최적화', '• 학부 4학년 이상\n• C/C++을 활용한 프로젝트 개발 경험이 있으신 분\n• (컴파일러 엔지니어) 함수형 언어 (Scala, Haskell, F# 등) 사용 경험이 있으신 분\n• (컴파일러 엔지니어) 딥러닝 프레임워크 (Pytorch, tensorflow 등) 사용 경험이 있으신 분\n• 병역특례 지원 가능\n\u3000- 산업기능요원 현역, 전문연구요원(전직, 보충역) 지원 가능하며 이력서에 별도 표기하여 제출 부탁드립니다.', '• 딥러닝 개념을 알고 동작 커널 개념을 알고 구현해보신 분\n• 딥러닝 프레임워크에서 operation 에 대한 지식을 갖추신 분\n• 컴퓨터 아키텍쳐 관련 지식이 풍부하신 분\n• Compiler 혹은 Interpreter 를 제작/연구해보신 경험이 있으신 분\n• 병렬 프로그래밍 경험이 있으신 분\n• 딥러닝 커널 최적화 관련 경험이 있으신 분\n• 딥러닝 모델 경량화 기법에 관한 지식이 있으신 분\n• 관련 학회 및 저널 게재 경력자\n• 관련 전공 석사, 박사 학위 보유 시 경력 인정']"
한국딥러닝,경력 2~15년,회사내규에 따름,"서울특별시 서초구 강남대로 537, 브랜드칸 타워 6층",딥러닝,OCR Engineer,"['DeepLearningTensorFlowPyTorch', '• Text Detection / Text Recognition / E2E OCR 모형 개발\n• Document Understanding\n• 모형 최적화\n• Edge 장비에 맞는 경량화 기술 연구\n• Table Parsing\n• Watermark 제거', '• OCR 시스템의 구조를 알고 이를 딥러닝 모형으로 구현이 가능하신 분\n• 딥러닝 서비스 배포를 위한 기본적인 구조를 알고 계신 분\n• 딥러닝 프레임워크 (Pytorch, Tensorflow 등) 사용에 익숙하신 분\n• 딥러닝 방식을 적용한 OCR 문자 인식 경험이 있으신 분', '• 기존 OCR 모델을 최적화 혹은 고도화 시킨 경험이 있으신 분']"
에이모,경력 4~10년,회사내규에 따름,경기 성남시 분당구 벌말로50번길 41 투아이센터 7층,딥러닝,[AIMMO] ML 파이프라인 개발 및 DBMS 운영 (Data Engineer),"['MachineLearningAirflowKubeflowDeepLearningKubernetesDocker', '• 머신러닝/딥러닝 활용 자율주행 데이터셋 개발\n• 파이프라인 시스템 설계, 개발 및 운영 \n• 모델 성능 최적화 및 데이터셋 개발 프로세스의 지속적인 자동화를 통한 운영 개선 \n• 데이터 전처리 및 유효성 로직 개발 \n• 데이터베이스 관리', '• 담당업무 관련 분야 중 경력 4년 이상이신 분 \n• Computer vision, Image/Video processing 이론에 대한 전반적인 이해를 하신 분 \n• 업무 자동화를 위한 파이프라인(Airflow, Kubeflow 등)을 구축하고 운영한 경험이 있으신 분 \n• Kubernetes, Docker 등 Container 환경에 대한 지식을 보유하신 분 - 딥러닝 모델을 활용하여 응용 분야에 대한 연구 개발 경험이 있으신 분 - 해외 출장에 결격 사유가 없는 분 \n• 팀원들과 적극적으로 소통할 수 있는 분, 주도적으로 업무를 이끌어가시는 분', '• 관련 분야 석사/박사 학위 이상 소지하신 분 (인공지능, 컴퓨터공학, 통계, 데이터분석 등) \n• Data-centric ai 에 대한 이해/경험이 있으신 분 \n• 자율주행 데이터셋 생성/활용 경험이 있으신 분 (이미지, 라이다, 레이더 등등, 2D, 3D 데이터셋 경험) \n• Linux 기반 개발 경험이 있으신 분 \n• 대량의 데이터 처리 경험 \n• 데이터베이스 개발 및 활용 경험 \n']"
아이브,경력 2~9년,회사내규에 따름,서울 서초구 남부순환로356길 89,딥러닝,Deep Learning Researcher (전문연 가능),"['GitMachineLearningDeepLearningTensorFlowPythonConfluencePyTorchDockerJira', '• 실제 산업용 불량 데이터에서의 검출 성능을 개선 시킬 수 있는 딥러닝 모델 선행 연구 및 개발\t\t\t\t\t\t\t\t\t\n• 연구분야\n    - Image Segmentation / Detection\n    - Class-Imbalance Learning \n    - Transfer Learning\n    - Anomaly Detection\n    - OCR\n    - Model Compression/Pruning/Quantization\n    - Active Learning\t\t\t\t\t\t\t\t\t\n• Data-centric approach를 통한 robust model 개발. 해당 기술을 위한 dataset benchmark 구축, 해당 benchmark 평가 방법 개발, labeling 방식 연구\t\t\t\t\t\t\t\t\t\n• Model deployment (ONNX/TensorRT/LibTorch)\t\t\t\t\t\t\t\t\t\n• 비전 관련 탑티어 학회 (CVPR/ICCV/ECCV/NeurIPS/ICML/ICLR 등) 논문 게재\t\t\t\t\t\t\t\t\t', '• Strong backgrounds in Machine/Deep Learning (CS231n, CS229)\t\t\t\t\t\t\t\t\t\n• 공학계열 석사 이상 또는 딥러닝/컴퓨터 비전 분야에서의 연구 업무 경험 2년 이상  \t\t\t\t\t\t\t\t\t\n• 최신 ML/DL 논문들을 정확히 이해하고, 구현 및 의미 있는 분석을 할 수 있는 분\t\t\t\t\t\t\t\t\t\n• 딥러닝 연구에 관심과 열정을 가지고, 문제를 주도적으로 해결할 수 있는 분', '• 학회 논문 게재 경험\t\t\t\t\t\t\t\t\t']"
