기업이름,기업규모,매출액,평균연봉,자본총계1,자본총계2,자본총계3,매출액1,매출액2,매출액3,순이익1,순이익2,순이익3,기준년도,키워드
(주)반프,중소기업,12360,5564,441811,20062,10489,12360,9011,900,-27914,-10305,531,2022,자율주행
오픈엣지테크놀로지(주),중소기업,1001168,6473,3406848,2213247,-2572203,1001168,518586,108864,-2478588,-1374642,-1872871,2022,자율주행
(주)두원전자통신,중소기업,3343666,4382,1366881,1356231,948731,3343666,4257725,2288521,15420,412499,119822,2022,자율주행
주식회사애니랙티브,중소기업,220104,0,596381,763278,297818,220104,217341,101680,-316896,27845,543,2022,자율주행
(주) 실리콘스튜디오코리아,중소기업,491500,4552,111974,110541,104593,113107,126323,273118,1611,5947,19971,2016,자율주행
주식회사 한컴어썸텍,중소기업,81460,3877,74292,69776,13347,81460,64024,47401,4516,6428,10865,2022,드론
(주)엑스퍼넷,중소기업,3212805,5647,924254,847029,668688,3212805,3276745,2653091,77225,178340,68060,2022,드론
주식회사리하이,중소기업,161804,3110,36377,28582,4411,161804,118578,44897,10858,23583,2751,2022,드론
(주)스카우트파트너스,중소기업,855603,4515,169197,116080,58451,855603,586943,334395,53117,57628,27402,2022,드론
(주)프리뉴,중소기업,921452,4687,425006,282431,143723,186582,539289,648445,-157424,-41866,33475,2022,드론
(주)와이즈교육,중소기업,816310,3924,66299,50968,28686,816310,896016,701963,15330,22281,-140556,2022,드론
다스코리아,중소기업,5724536,4838,1182820,1157753,947049,5724536,4600909,3619219,67566,216675,-146660,2022,드론
한국씨앤오테크(주),중소기업,1844294,4257,768325,837440,960981,1844294,1167101,1185713,-69115,-123540,-271745,2022,드론
웹뜰 주식회사,중소기업,871814,3621,101237,292137,265947,871814,2574676,2054333,-4127,22190,27748,2022,드론
(주)인스파이어인티그레이티드리조트,중소기업,0,4835,22758154,22706598,5709905,0,0,0,51556,-185292,-163460,2017,드론
(주)유비파이,중소기업,635493,4659,252480,187863,86897,635493,343995,143861,64617,100966,56925,2022,드론
한국교통안전공단,중기업,38479817,4466,23436861,21862975,20816590,38479817,43607780,33865607,63788,1067705,-687089,2022,드론
(주)프로듀스드바이기억,중소기업,488051,4688,8775,8533,-5951,488051,389758,203861,242,14484,9611,2022,드론
오가노이드사이언스(주),중소기업,43824,5769,-3956023,3424975,689449,43824,27025,10186,-2411128,-532567,-140197,2022,드론
산수음료(주),중소기업,1592070,4712,415395,738302,723117,1592070,1676206,1646769,-322907,15185,-80486,2022,드론
(주)비전드림교육,중소기업,124614,0,13010,8072,6762,124614,91324,34150,4938,1310,3762,2022,드론
(주)더프리마,중소기업,393387,4238,30568998,12725385,12879406,393387,409080,1279919,28983441,-154020,-181128,2022,드론
주식회사 베이리스,중소기업,1691838,6227,481289,257197,302003,1691838,1899189,1757820,111993,-44806,100542,2022,딥러닝
(주)커리어케어,중소기업,1787914,0,463968,455615,163751,1787914,2218597,1585581,164028,369725,61014,2022,딥러닝
(주)메디픽셀,중소기업,2727,6092,934694,128064,60647,2727,-3566,4636,-148410,-32962,-12444,2021,딥러닝
포인드(주),중소기업,175578,3654,96745,23882,20426,175578,127286,93270,39263,3583,1429,2022,딥러닝
주식회사 경연파트너스,중소기업,93182,0,6983,-6384,-13622,93182,69082,40750,7418,7737,-1818,2022,딥러닝
(주)대웅기연,중소기업,397248,3851,905579,904872,919383,397248,363911,426659,10771,1136,22707,2022,딥러닝
주식회사 딥브레인에이아이,중소기업,647159,6230,2409251,3507813,198721,647159,321097,265621,-1098532,-391062,-415109,2022,딥러닝
제이엠피코리아(주),중소기업,1072714,2714,245185,211407,208163,1072714,958558,980481,33778,13243,18974,2022,딥러닝
주식회사트윔,중소기업,1956161,0,6598595,7490969,4590436,1956161,2160300,1825956,-531652,218643,291015,2022,딥러닝
(주)스카우트파트너스,중소기업,855603,4515,169197,116080,58451,855603,586943,334395,53117,57628,27402,2022,딥러닝
(주)카이어,중소기업,30227,6030,-239,3188,4415,30227,18931,5100,-3427,-1084,-5941,2022,딥러닝
케이저,중소기업,2447,0,17838,24087,8687,2447,1458,524,1556,-7965,5927,2022,딥러닝
고큐바테크놀로지(주),중소기업,77704,4482,148644,47252,32845,77704,23363,14471,645,9447,13921,2022,딥러닝
(주)고스트패스,중소기업,5656,5292,784,-4235,5415,5656,1000,181,-8007,-15157,-7372,2022,딥러닝
(주)스카우트,중소기업,2616931,3147,482113,437795,362214,2616931,2237130,1985108,44318,75581,66091,2022,딥러닝
포티투닷 주식회사,중소기업,330478,7291,3650495,9432812,2462012,330478,40203,2506,-6118762,-3452141,-2147287,2022,딥러닝
(주)아이티엔제이,중소기업,200439,4205,103552,103233,98580,200439,214805,204974,318,4652,2280,2022,딥러닝
세미브레인(주),중소기업,10000,0,42701,10603,16167,2000,2000,1500,-7902,-13963,11311,2022,딥러닝
(주)넥슨코리아,대기업,250401322,7121,534940163,596569328,221195756,250401322,193347529,215548216,44426909,452328209,45018199,2022,딥러닝
(주)두원전자통신,중소기업,3343666,4382,1366881,1356231,948731,3343666,4257725,2288521,15420,412499,119822,2022,딥러닝
(주)크래프톤,중견기업,176777581,7160,504230426,459207918,120080269,176777581,182837378,9543703,48714260,54220225,515150,2022,딥러닝
(주)이노메트리,중소기업,7373536,5684,5654811,5404691,4760529,7373536,4465577,2049419,314445,369280,-408356,2022,딥러닝
(주)에이치알맨파워그룹,중소기업,847445,5026,154362,144192,131953,847445,876651,620528,10170,12238,2689,2022,딥러닝
코난테크놀로지,중소기업,1538816,5594,4060608,1431137,439886,1538816,1784909,1400147,-327684,189397,148767,2022,딥러닝
보잉코리아(유),중소기업,5315190,7113,11635718,10797202,9984411,5315190,4260407,4298664,839484,811823,150824,2022,딥러닝
넷마블컴퍼니(주),대기업,96260479,0,485569256,567329358,514810794,96260479,131959571,137842947,-53376830,43849201,10341958,2022,딥러닝
(주)써로마인드,중소기업,322316,5121,197929,155739,148288,322316,76933,63836,43858,8515,35827,2022,딥러닝
주식회사 와이앤와이,중소기업,60624,5764,32809,29042,11277,60624,100060,72913,4216,18078,3795,2022,딥러닝
(주)클라리파이,중소기업,0,4887,-887078,163087,22508,145038,24149,55122,-511216,-159419,-91096,2022,딥러닝
(주)타노스,중소기업,168819,5641,355160,383446,385917,168819,146531,447109,28414,988,146484,2020,딥러닝
(주)에이치포테크,중소기업,137927,4235,57608,17054,13246,137927,56349,45046,42090,4451,9753,2022,딥러닝
(주)에바,중소기업,724255,0,516447,595736,140888,724255,59086,16479,-79289,-53838,-31853,2022,딥러닝
서울엔지니어링(주),중소기업,803181,5052,822748,820689,796849,803181,720610,570804,2059,23839,-140627,2022,딥러닝
(주)딥인스펙션,중소기업,207142,2886,749890,303846,297418,207142,192078,219285,18587,18948,34016,2022,딥러닝
삼정KPMG그룹,중견기업,76102013,6087,5300400,5131074,4695364,31907438,30044745,27591978,169326,435709,1017185,2017,딥러닝
(주)프로매치코리아,중소기업,423497,3606,114350,82310,78616,423497,265846,325101,33839,3693,12757,2021,딥러닝
(주)뷰런테크놀로지,중소기업,45919,4763,773070,939785,89852,34091,17350,18852,-266673,-44582,-10186,2022,딥러닝
(주)크라우드웍스,중소기업,1068913,4484,443875,-3259384,-902646,1068913,849281,738923,-1309652,-2447503,-607381,2022,딥러닝
와디즈(주),중소기업,3414284,3339,199293,2903429,1886636,3414284,1211258,119309,-3065406,-2083944,-7236942,2022,딥러닝
(주)더컴퍼니,중소기업,126556,3982,7627,5014,2939,45601,9338,4123,2613,2075,442,2020,딥러닝
(주)무스마,중소기업,408142,4300,588357,426755,225786,408142,191132,67678,11597,-99021,-38776,2022,딥러닝
(주)메디씽큐,중소기업,200291,5559,59401,24108,73823,200291,81720,64609,-186796,-224086,-114539,2022,딥러닝
온리원파트너스(주),중소기업,483765,5315,68471,56508,33010,483765,443174,233298,11962,23396,6214,2022,딥러닝
(주)아이아이에스티,중소기업,626474,4382,171677,153507,131889,626474,750111,822898,18169,21896,34425,2022,딥러닝
코가로보틱스(주),중소기업,37179,4578,2398977,101575,77147,37179,156842,74946,-835304,60623,37414,2022,딥러닝
(주)한국정보기술단,중소기업,3829151,4682,1517542,1352527,790173,3829151,2757914,2243032,165014,240557,177639,2022,딥러닝
(주)쉬모스랩,중소기업,22833,3932,10266,4684,6441,22833,31050,1454,581,5743,-7087,2022,딥러닝
(주)여의시스템,중소기업,4981895,5222,3458002,3198613,2919476,4981895,4487212,3921157,284694,321996,297167,2022,딥러닝
(주)스펠릭스,중소기업,607933,5295,233281,139471,60984,607933,439726,337769,103852,78569,7870,2022,딥러닝
(주)비아이씨티,중소기업,19513,4850,18865,11954,10841,19513,8351,3830,6911,1150,3841,2022,딥러닝
KSC&C,중소기업,866988,4280,228764,162545,82254,866988,813154,562338,76219,82290,17508,2022,딥러닝
(주)하나금융티아이,중견기업,28292263,6752,19691102,10596219,10690009,28292263,25536476,22502280,8473290,122618,-10245,2022,딥러닝
SK플래닛 Tacademy,대기업,27786713,0,20713467,32777669,32213419,27786713,28062992,27646171,15808625,600348,130491,2022,딥러닝
(주) 실리콘스튜디오코리아,중소기업,491500,4552,111974,110541,104593,113107,126323,273118,1611,5947,19971,2016,딥러닝
(주)유진로봇,중견기업,4962886,5831,4407152,3913085,4129929,4962886,2764629,2463697,487708,-143454,-1025288,2022,로봇제어
(주)에바,중소기업,724255,0,516447,595736,140888,724255,59086,16479,-79289,-53838,-31853,2022,로봇제어
(주)프로매치코리아,중소기업,423497,3606,114350,82310,78616,423497,265846,325101,33839,3693,12757,2021,로봇제어
(주)글로벌로보틱스,중소기업,1471895,4877,582599,682460,313607,1471895,1712280,1911155,-100248,43730,-39806,2022,로봇제어
(주)루덴스파트너스,중소기업,184253,3468,30286,27812,-13429,184253,125177,11960,2614,-23757,-18186,2022,로봇제어
(주)제타크리젠,중소기업,55301,5583,22695,33739,31689,55301,95773,71630,-11044,2070,1988,2022,로봇제어
(주)마젠타로보틱스,중소기업,192598,4673,26273,20905,16498,192598,106183,60539,5368,4407,3469,2022,로봇제어
(주)아이엠티에프에이,중소기업,410458,0,318703,177044,150361,410458,377300,273021,30835,26683,6401,2022,로봇제어
(주)피너클써치,중소기업,120793,3384,99679,97840,71001,120793,109519,110621,1839,26838,19394,2018,로봇제어
제일유리주식회사,중소기업,2091211,4429,603967,602382,455339,2091211,2354421,1970398,1585,28828,22955,2022,로봇제어
스타웰즈(주),중소기업,61206,3563,79766,72379,63680,61206,54197,10922,-22418,9839,6769,2022,로봇제어
(주)디엠테크놀러지,중소기업,1356272,6238,1672847,1626150,1571018,1356272,1020441,1367884,46641,54848,22736,2022,로봇제어
코웨이(주),중견기업,281348892,5796,197569655,165886246,138597477,281348892,281464816,259254694,37131777,34655918,28055060,2022,로봇제어
(주)프로닉스,중소기업,40097,2450,7906,7223,3333,40097,56453,2700,691,4322,375,2022,로봇제어
(주)유베이스,중견기업,41483537,0,43116694,43356198,42829078,41483537,38957479,39419956,754269,1382983,-316589,2022,로봇제어
(주)에이치알맨파워그룹,중소기업,847445,5026,154362,144192,131953,847445,876651,620528,10170,12238,2689,2022,로봇제어
(주)이오스시스템,중소기업,879274,4159,156966,123709,10584,879274,663238,429679,35586,22909,-29452,2022,로봇제어
코가로보틱스(주),중소기업,37179,4578,2398977,101575,77147,37179,156842,74946,-835304,60623,37414,2022,로봇제어
로보트로,중소기업,112335,0,17530,28055,14468,112335,116205,111645,15475,15287,12126,2022,로봇제어
(주)한화,대기업,387992548,0,334410943,358732324,349246351,387992548,393556852,400077486,28658932,13148641,12867802,2022,로봇제어
(주)스카우트파트너스,중소기업,855603,4515,169197,116080,58451,855603,586943,334395,53117,57628,27402,2022,로봇제어
AJ네트웍스 주식회사,중견기업,59193399,5464,36365953,37278834,29844470,59193399,48552371,45355489,-143369,7406325,1712061,2022,로봇제어
인천대학교,대기업,23284114,0,164696540,161616959,115604536,23284114,66797378,28460157,3079580,46012423,7627212,2022,로봇제어
기승공업(주),중소기업,3867527,0,1218204,1207770,1187070,3867527,3753396,5195132,10434,20699,18810,2020,로봇제어
주식회사 에프엠,중소기업,237727,0,352961,343463,331796,237727,246235,206329,9497,11666,12375,2022,로봇제어
조선대학교,소기업,26021816,2614,40229756,42040967,50774077,26021816,25439896,46809256,-1232798,-928400,-315401,2019,로봇제어
(주)나린알앤디,중소기업,217500,4066,73400,79300,31200,217500,488100,151300,-5700,28000,20500,2018,로봇제어
기광산업(주),중소기업,6536606,4526,2025175,2221840,2036592,6536606,4992772,4923022,-1091099,61337,76013,2022,로봇제어
주식회사가치소프트,중소기업,1007883,4966,353843,121658,90686,1007883,526441,306213,232185,31093,12075,2022,로봇제어
주식회사 디알비동일,중견기업,4084759,0,19665336,20210732,21858977,4084759,9576189,10882239,-490464,-1643401,162201,2022,로봇제어
(주)포스코에이앤씨건축사사무소,대기업,18508101,6713,3624218,3185315,3106935,18508101,17900619,15360472,340741,242312,481629,2022,로봇제어
(주)하스오토메이션코리아,중소기업,1320221,5691,366907,428650,409765,1320221,1604256,1389421,-58743,21884,7036,2022,로봇제어
(주)와이즈교육,중소기업,816310,3924,66299,50968,28686,816310,896016,701963,15330,22281,-140556,2022,로봇제어
주식회사 눈(NOON),중소기업,89000,4397,10100,16505,20893,71400,44665,42845,7100,14512,3187,2016,로봇제어
리뉴피플(주),중소기업,0,2046,-10074,-10086,-9015,44549,42649,26992,11,-1071,-5080,2015,로봇제어
주식회사 웨이브엠,중소기업,310363,0,263198,252933,227053,310363,277180,267931,10364,26209,27036,2022,로봇제어
(주)에스유아이티,소기업,92096,3160,76378,68984,61051,92096,215681,233792,7347,7937,26886,2022,로봇제어
엘에스메카피온(주),대기업,6000090,0,2362509,1720449,1374257,6000090,4522362,3475745,621939,349917,329618,2022,로봇제어
씨에스아이시스템주식회사,중소기업,177010,4695,41469,47523,38780,177010,188780,132073,3077,8743,6668,2019,로봇제어
주식회사리얼게인,중소기업,2342041,5623,2558879,1373306,1399894,2342041,2046260,654423,496255,373411,69234,2022,로봇제어
브이씨티이,중소기업,1591477,4619,415129,389590,192686,1591477,1515962,954317,25539,196903,-70442,2022,로봇제어
(주)디자인피버,중소기업,1324444,4332,460683,514910,503859,1324444,1621345,1714708,35773,41050,96617,2022,로봇제어
(주)스카우트,중소기업,2616931,3147,482113,437795,362214,2616931,2237130,1985108,44318,75581,66091,2022,로봇제어
(주)덴티움,중견기업,35580000,5340,32409542,26498231,22069831,28531092,22524207,17884341,6149604,4700302,1444758,2022,로봇제어
주식회사 한컴어썸텍,중소기업,81460,3877,74292,69776,13347,81460,64024,47401,4516,6428,10865,2022,로봇제어
(주)아이씨디,중견기업,13328640,5835,14237010,15953573,17265979,13328640,10251425,29384691,-810564,-90650,2916575,2022,로봇제어
(주)프레도,중소기업,20565,4435,13766,258,-25701,20565,8975,12611,-46132,-22035,-31470,2021,로봇제어
씨제이대한통운(주),대기업,821465386,6437,342674966,341680405,326584204,821465386,772864670,693611989,20057620,9378150,9554908,2022,로봇제어
서울특별시보라매병원,중기업,28809645,0,6692383,5804576,-1251616,28809645,28092588,26395265,887806,7056192,1036551,2022,로봇제어
(주)메디픽셀,중소기업,2727,6092,934694,128064,60647,2727,-3566,4636,-148410,-32962,-12444,2021,로봇제어
(주)프로메카,중소기업,449991,5171,161173,50352,3851,449991,210109,100024,125820,46501,5393,2022,로봇제어
(주)글로벌스카우트,중소기업,0,1771,14736,12878,5303,62315,46337,21217,1858,-2330,-825,2015,로봇제어
(주)더라이징스타,중소기업,322935,3353,-21636,251,13858,322935,434464,451452,-21887,-13607,350,2022,로봇제어
(주)김포산업,중소기업,767540,5056,266721,222502,209391,767540,804210,652253,44927,17555,54860,2022,로봇제어
(주)비전드림교육,중소기업,124614,0,13010,8072,6762,124614,91324,34150,4938,1310,3762,2022,로봇제어
아이엠아이크리티컬엔지어링코리아(주),중견기업,9522486,4611,4100907,4835833,4558832,9522486,9254345,9499848,642887,1321767,1050454,2022,로봇제어
우리산업(주),중견기업,35168383,5750,8307933,11645191,11632960,35168383,26954307,27423035,-1731460,90160,495678,2022,로봇제어
수퍼빈(주),중소기업,765476,4381,2822132,1925278,1355914,765476,461436,177445,-602605,-316352,-235916,2022,로봇제어
주식회사 시메이션,중소기업,217194,4115,177614,204081,191519,217194,201382,127704,-22417,19348,14778,2022,로봇제어
한국야스카와전기(주),중견기업,25024523,6493,14630792,14445207,13172360,25024523,25474296,21805606,1142096,1719002,784950,2023,로봇제어
신태진건설(주),중소기업,781971,0,807064,793358,783441,781971,233850,286228,13706,9917,-60994,2022,로봇제어
(주) 실리콘스튜디오코리아,중소기업,491500,4552,111974,110541,104593,113107,126323,273118,1611,5947,19971,2016,로봇제어
(주)대일전자,중소기업,2322110,5433,1714613,1720197,1651098,2322110,2048778,1572747,94416,169098,38835,2022,로봇제어
