기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량,인덱스,키워드추출
슈어소프트테크,3년,연봉업계평균이상,성남시 수정구 금토로80번길 37(금토동),자율주행,", 자동차 SW 엔지니어링 서비스 수행",", C 및 C++ 기반 개발 경력 3년 이상, 임베디드 시스템 또는 자율주행 시스템에 대한 구조 이해 가능자, 국제 표준/논문/기술문서 등 분석이 가능한자, SW 공학 관련 교육 경험이 있는 분, C/C++ 언어 분석 및 기본적인 개발에 어려움이 없는 분, 스크립트 언어(Python, Shell Script 등)를 다를 줄 아는분, 프로젝트 및 엔지니어링 매니저 역량을 갖춘 분, CARLA 시뮬레이터 운영 경험자, Unreal Graphic Engine",11,"['시스템', 'SW', '분석', '프로젝트', '논문', '자율주행', 'C', '임베디드', '공학', 'Python']"
컨트롤웍스,-,연봉업계평균이상,서울 강남구 언주로81길 13 진일빌딩 3층,자율주행,", 자율주행 시스템 설계 및 프로토타이핑- 자율주행 네트워크 구조 설계 및 구축- 자율주행 시스템 신호 인터페이스 설계 및 구현- 자율주행 보안시스템 설계 및 구축- 자율주행 시스템 구조 설계 및 패키징 최적화","[자격요건],  학사학위 이상(자동차공학, 기계공학, 로보틱스, 컴퓨터 공학, 전기전자 등 관련 분야 전공),  C/C++, Python 등을 활용한 프로그래밍 프로젝트 경험[채용절차], 서류전형   실무·임원면접  채용검진  최종합격(상황에 따라 실무면접이 별도로 진행될 수 있습니다.)[제출서류], 이력서, 자기소개서, 최종학력 성적증명서(90일 이내 발급), 포트폴리오(선택), 이력서 내 희망연봉 필수기재[근무조건], 근무형태: 정규직, 근무일시: ",12,"['로보틱스', '프로젝트', 'C', '공학', 'Python']"
에이모(AIMMO),5년,-,경기 성남시 분당구 벌말로 50번길 41 투아이센터 7층,자율주행,"- 센서 연동 (카메라, 라이다)- 엣지 디바이스 환경에서 딥러닝 모델 포팅- 딥러닝 모델 경량화","- 관련 분야 석사 학위 이상 소지자 및 유관 경력 5년 이상 이신 분 (알고리즘, 컴퓨터, 로봇 등)- 엣지 디바이스 개발 경험 있으신 분 (Embedded Linux)- 센서 연동 경험 있으신 분 (카메라, 라이다)- PyTorch Mobile, TensorFlow Lite, ONNX, NCNN, TensorRT 중 최소 1개 이상의 라이브러리를 사용해보신 분[필수 제출서류]- 자율 양식의 이력서└ 필수 포함내용: 성향 및 업무 가치관, 개발경험, ",13,"['알고리즘', '학위', '로봇', '석사', 'Embedded', 'Linux']"
클로봇,2년,연봉업계평균이상,"성남시 분당구 성남대로925번길 16, 7층 701호 (야탑동)",자율주행,", 동적 환경에서의 강인한 주행 알고리즘 개발 및 배포, 주행 예외 상황 대처를 위한 Behavior 개발, 새로운 주행 알고리즘 또는 기존 주행 알고리즘 개선 부분에 대한 평가 및 검증, 알고리즘 설계 및 구현에 대한 내용 문서화, 양산 로봇에 적용 가능한 좋은 품질의 코드 작성",", 로보틱스, 컴퓨터 공학 또는 관련 학과의 학사 이상 학위 소지자, 자율주행 알고리즘에 대한 기본적인 이해, C++/Python 이용 개발 경험 보유, SW 자료구조, 알고리즘 디자인에 대한 기본 지식 보유, 팀원과의 원활한 소통 및 협업 능력 보유, 해당 분야 석사, 박사 학위 혹은 2년 이상의 개발 경력, Git을 이용한 버전 관리 경험 보유, Linux, ROS 이용 개발 경험 보유",14,"['학사', 'SW', '알고리즘', '로보틱스', 'ROS', '학위', '박사', '자율주행', '석사', 'C', 'Linux', '공학', 'Python']"
긴트,4년,연봉업계평균이상,"경기도 성남시 분당구 판교로 228번길 17, 판교벤처밸리 2단지 1동 4층 긴트",자율주행,", 농기계 자율주행 및 AI 관련 해외 논문 조사 및 요약, 농경지 자율주행을 위한 전역/지역 경로 생성 알고리즘 개발, 경로 추종 제어 알고리즘 개발, 농기계 위치/자세/주행 상태를 추정하는 센서 퓨전 알고리즘 개발, 농기계 주행 상황에서 센서 노이즈 제거 시스템 개발",", 학력 : 대졸(4년제)이상, 경력 : 경력 2년 이상(석사학위 인정), Matlab(Simulink), C/C++, Python 프로그래밍 언어 사용 가능한 분, 수학적 지식 보유자(선형 대수, 공업 수학, 확률, 최적화 기법 등), 기계, 컴퓨터, 자동차, 제어, 로봇공학 관련 전공, 자율주행 및 AI 관련 해외 학회/저널 논문 게재 경험, GNSS, IMU에 대한 이해, 차량 동역학에 대한 이해",15,"['최적화', 'AI', '제어', '자동차', '논문', '자율주행', 'C', 'Python']"
뷰런테크놀로지,2년,-,"서초구 강남대로 311, 19층",자율주행,ㆍ주행전략 및 판단 알고리즘 개발 및 실차검증ㆍ경로생성 로직 개발 및 실차검증ㆍ모델기반 제어로직 개발 및 실차검증,"ㆍ관련분야 경력 2년 이상이신 분ㆍ관련분야(자동차 공학, 기계공학, 로보틱스 등) 학사 학위자 이상이신 분ㆍ자율주행 Planning 로직 개발 경력이 있으신 분ㆍC/C++,Python 관련 언어 지식이 높으신 분ㆍ관련분야(차량 주행 제어 및 주행 판단 등) 석/박사 학위가 있으신 분ㆍLiDAR, 비전센서 관련된 전문지식을 가지고 있으신 분ㆍ자율주행/ADAS 기술에 관심을 가지고 있으신 분ㆍ차량 모델 identification 설계/개발 경력이 있으신 분",16,"['공학', '학사', '로보틱스', '설계', '제어', '박사', '자동차', 'C', 'ADAS', 'Python']"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,", 로봇 모션 제어 Motion Control, 로봇 경로 생성 Path Planning",", C/C++, ROS, Linux, Ubuntu-	자율주행 관련 학위 (석사/박사)-	기계공학-	컴퓨터 공학-	자율주행 S/W 개발 경험",17,"['ROS', '학위', '박사', 'S/W', '자율주행', '석사', 'C', 'Linux', '공학']"
포티투닷(42dot),5년,연봉상위6~10%,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층",자율주행,", Processing camera & radar perception, Implementation of object modeling, Algorithm performance optimization, Design performance evaluation metrics and implement evaluation pipeline",", 유관 경력 5년차 이상 (박사 졸업 예정자 지원 가능), 자율주행 기술에 사용되는 센서들에 대한 깊은 이해, State Estimation, Multi-target Tracking & Data Association, 카메라 geometry에 대한 이해, 선형대수, 확률 및 통계, 디지털신호처리에 대한 전공지식, 숙련된 프로그래밍 기술(C/C++, Python 등), Camera, Radar, IMU 등 다양한 종류의 센서 사용 경험, ADAS 및 자",18,"['박사', '자율주행', 'Data', 'C', 'ADAS', 'Python']"
포티투닷(42dot),5년,연봉상위6~10%,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층",자율주행,", 자율주행 중 수집되는 다양한 센서, 동영상 데이터를 이용하여 label을 자동으로 생성하는 알고리즘 및 자동화 시스템을 개발, 아래 주제들과 관련된 연구 개발- Dataset and evaluation- Active learning- Network architecture search- Transfer/ low-shot/ long-tail learning",", 5년 이상 실무 경험(박사 졸업 예정자 지원 가능), 컴퓨터공학, 전자공학, 수학, 통계 및 기계학습과 관련된 전공의 석사/박사 학위, 혹은 동등한 경력, 선형대수, 확률, 신호처리, 기계학습에 대한 전공지식, 숙련된 프로그래밍 (C/C++, Python 등) 기술, 자율주행 및 로보틱스 관련 개발 경험- Object detection- Semantic segmentation- Depth estimation- Transformer based mode",19,"['로보틱스', '학위', '박사', '자율주행', '석사', 'C', '컴퓨터공학', 'Python']"
포티투닷(42dot),7년,연봉상위6~10%,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층",자율주행,", 자율주행 차량용 인포테인먼트 및 모바일 어플리케이션 UX 설계 및 UI 디자인, 사용자(승객/세이프티 드라이버)를 위한 편리한 이동 경험 디자인, 자율주행 시대의 모빌리티 시나리오를 연구하고 새로운 사용자 경험 제안",", 최소 7년 이상의 UX 디자인 프로젝트 경험 (모바일 UI 필수), Digital Product의 UX 설계부터 UI 디자인, 개발 후 QA 및 운영 과정을 진행해 본 경험, 서비스 방향 및 정책에 기반한 User Flow를 설계하고 구체화 할 수 있는 역량, User Research를 직접 설계하고 실행할 수 있는 경험, 포트폴리오 제출 필수, 모빌리티 서비스 및 차량용 인포테인먼트 시스템 프로젝트 경험, Figma를 활용하여 화면을 설계하고 커뮤",20,"['프로젝트', '시스템']"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,", SLAM / Localization, Lidar / Vision Based SLAM",", C/C++ , ROS , Lidar/Camera Sensor working experience,, SLAM 경험, Lidar / Camera 센서 관련 개발",21,"['C', 'ROS']"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,", Camera / Lidar Sensor Fusion, Object Pose Estimation, Object Shape Estimation, Object Velocity Estimation, Other General Object Info",", Perception 관련 개발, C/C++ , Python, ROS, 자율주행 관련 개발, 자율주행 경력, 자율주행 학과",22,"['ROS', 'C', '자율주행', 'Python']"
니어스랩,3년,-,"서울시 강남구 논현로 417 화원빌딩 4, 5층",드론,AI 드론을 원격에서 관리하는 관제 S/W 개발,"3년 이상의 S/W 개발 경험 (분야 무관)다양한 프로그래밍 언어를 자유롭게 활용 가능하신 분새로운 도메인에 대한 학습 능력 및 문제해결 역량을 갖추신 분주어진 문제를 풀기 위해 사업팀과 소통하며 고객을 위한 공학적인 의사 결정을 주도적으로 하실 수 있는 분H/W를 원격에서 모니터링하고 제어하는 S/W 개발 경험자스타트업 경험자【 고용형태 】, 정규직 (수습기간 3개월 포함)【 채용절차 】, 서류전형 코딩테스트 1,2차 면접  최종합격, 지원서 : 자유",23,"['가능하신', 'S/W']"
컨트롤웍스,2년,연봉업계평균이상,서울 강남구 언주로81길 13 진일빌딩 3층,자율주행,", 자율주행관련 UI/UX 컨셉 기획- 자율주행 Driving Experience에 적합한 컨셉 기획- 자율주행 UI 프로토타입 설계, 자율주행 프론트엔드 개발- 자율주행시 탑승자와 시스템간 UI 구현- 자율주행 인터페이스 유지 및 보수","[자격요건], 학사 이상 (컴퓨터 공학/감성 및 인간공학 등 전공), 프론트엔드 개발 경력 2년 이상, 프로그래밍 능력 (HTML, CSS, JavaScript, etc.)[채용절차], 서류전형   실무·임원면접  채용검진  최종합격(상황에 따라 실무면접이 별도로 진행될 수 있습니다.)[제출서류], 이력서, 자기소개서, 최종학력 성적증명서(90일 이내 발급), 포트폴리오(선택), 이력서 내 희망연봉 필수기재[근무조건], 근무형태: 정규직, 근무일시: 주",24,"['학사', '공학']"
베스텔라랩,2년,연봉업계평균이상,안양시 동안구 엘에스로116번길 118 안양2차 SKV1 Center,자율주행,"사용기술- ROS, Python, Github, Git, 리눅스 등주요업무- 자율주행차량 제어 프로그램 개발- 자사 측위 알고리즘 개선 및 엔진 고도화- 라이다, 카메라, BLE 등의 다양한 이동체 탑재 센서 기반 측위 알고리즘 개발- 새로운 기술개발 R&D 사업 기획, 시장 조사","- 2년이상 경력자- C++ 혹은 Python 프로그래밍 능력- 국영문 학술논문 등 전문 아티클 리딩 능력- 새로운 영역 및 분야 리서치 능력(*전문용어를 기반으로 통합적 사고력 및 이해 능력)- 논리적인 사고 및 접근 방법- 통계 및 수학 전공자- 센서 및 GPS 신호분석, 응용 알고리즘 개발 이해도 보유- Embedded SW개발 (C / C++)- 데이터 분석 (Matlab 또는 python)- ROS에 대한 이해- 측위기술 과제 경험, Embed",25,"['알고리즘', '분석', '경력자', '전공자', 'Embedded', '데이터', 'C', 'python', 'Python']"
뷰런테크놀로지,-,-,"서초구 강남대로 311, 19층",자율주행,", 라이다 인지 기술 개발 (C/Python), 자율주행 인지 솔루션 연구, 디자인, 개발, 실시간 데이터를 활용한 차량주변 객체 움직임 예측, Develop LiDAR perception algorithm (C/Python), Research, design, and develop perception solutions and algorithms, Imple",", 전자전기/컴퓨터공학 학사 이상 또는 이와 비슷한 동종업계 경력, C/C++ 또는 Python 개발, MS or higher degree in CS/CE/EE(Candidate) or equivalent industry experience, Experience in the field of deep learning/ machine learning, Strong programming skills in C/C++ or Python, 전자전기/컴퓨터 공학관련",26,"['학사', 'C', '컴퓨터공학', 'Python']"
씨엔비스,4년,-,"경기도 성남시 수정구 창업로 43, 판교 글로벌비즈센터 A동 907~910호",자율주행,", 영상처리 기술 분석 및 구현, AI 기반 실시간 객체 인지, 추적 등의 기술 구현, 관련 논문 게재 또는 특허 출원",", 관련 분야 학사학위(4년제) 이상, 혹은 유관 분야 경력 2년 이상이신 분, C/C++ 또는 Python 프로그래밍 언어를 익숙하게 다룰 수 있는  분, 딥러닝/기계학습 분야 경험, 관련 분야 석사 학위 이상 소지자, 자율주행 시스템 구성에 대한 이해, 자율주행 센서(GNSS, IMU, Camera, Lidar 등) 사용 경험, 관련(자율주행 및 AI) 분야 저서/학술활동 이력, 자율주행 및 로보틱스 관련 프로젝트 참여 혹은 개발 경험, 자율주행 차",27,"['시스템', 'AI', '로보틱스', '학위', '프로젝트', '자율주행', '석사', '딥러닝', 'C', 'Python']"
엑스와이지,2년,-,서울시 성동구 아차산로17길 48,자율주행,[팀 소개]XYZ는 자율주행 로봇을 전문적으로 개발하는 스타트업으로 자율주행 로봇을 활용하여 건축물 내 XY축 이동뿐만 아니라 Z축 이동을 통해 다양한 식음료를 전달하고 있습니다.XYZ의 로봇 자동화팀은 로봇 서비스 운영과 제어에 필요한 시스템 임베디드부터 사용자 프론트 앱까지 전반적인 제어 시스템과 소프트웨어를 디자인하고 개발하는 팀입니다. 바리스타 로봇,"- 해당 분야 학사 이상- 해당 개발 경력 2년 이상- ROS 환경에서 개발 경험이 있는 분- Cartographer ROS Integration 경험이 있는 분- Lidar & Vision SLAM 경험이 있는 분- MCU, 모터 제어, IMU 센서 제어 경험이 있는 분- C/C++, Python 언어 개발 경험이 있는 분- 자동화 시스템 제어 경험 보유- 지도 및 경로 계획 알고리즘 개발 경험이 있는 분- 자율주행 로봇 제품의 개발 경험이 있는 분",28,"['학사', '시스템', '알고리즘', '제어', 'ROS', '로봇', '자율주행', 'Vision', 'C', 'Python']"
마스오토,-,-,"서초구 논현로 145, 수냐빌딩 3층",자율주행,", Low-level 최적화에 중점을 둔 자율주행 소프트웨어 개발",", 현대 컴퓨터의 작동 방식에 대한 지식, ARM 및 x86 아키텍처에 익숙함, C/C++ 및 Python에 익숙함, IOI 또는 IMO 경험, 경쟁적 프로그래밍 경험 (예: topcoder), GPU에서 실행되는 소프트웨어 작성 경험 (예: CUDA)",29,['C']
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,", Camera / Lidar Sensor Fusion, Object Pose Estimation, Object Shape Estimation, Object Velocity Estimation, Other General Object Info",", Perception 관련 개발, C/C++ , Python, ROS, 자율주행 관련 개발, 자율주행 경력, 자율주행 학과",30,"['ROS', 'C', '자율주행', 'Python']"
슈어소프트테크,1년,연봉업계평균이상,성남시 수정구 금토로80번길 37(금토동),자율주행,", 사내 솔루션 DCAT 및 자율주행 관련 과제 수행: 센서 데이터 송수신 기능, 데이터 로깅/파싱 기능, 다종/다중 센서 데이터 시간 동기화 기능 개발",", 경력 1년 이상 C++ 개발자, 데이터 통신 관련(UDP, TCP) 개발 경험자, Linux 기반 개발 경험자, 개인 보다 팀 워크를 중요시 하는 성격, 라이다, 레이더, 카메라, IMU, GPS 등, 센서 데이터 처리 경험자, QT 개발 경험자, 새로운 일에 대한 도전적인 태",31,"['데이터', 'C', 'Linux']"
폴라리스쓰리디(Polaris3D),4년,-,서울시 강남구 봉은사로 524 인터컨티넨탈 서울 지하2층 스파크플러스 코엑스점로,자율주행,[우리가 하는 일]우리 팀은 곧 다가올 '1인 1로봇' 시대를 준비하면서 이리온을 경험하고 있는 고객들의 목소리로부터 치열하게 이리온의 미래 모습을 상상하고 실현해 나갑니다.이리온이 세계적인 로봇플랫폼으로 자리잡도록  자율주행 임베디드 소프트웨어를 개발하면서 나아가 Full Self Driving 시스템 구현하도록 함께 고민하고 나아갈 훌륭한 능력자 분들을,", 임베디드 소프트웨어 개발 경험이 있으신 분, Cortex A 기반 Kernel 수정 및 소프트웨어 개발 경험이 있으신 분, 4년제 대학교 학위를 보유하시거나, 관련 경력 1년 이상이신 분【전형 절차】, 서류 전형, 1차 면접, 추가 면접 (필요 시 진행), 2차 면접, 최종 합격* 처우 및 입사일 협의시용기간 (3개월) 후, 평가 결과에 따라 정규직 전환 결정되며 평과결과에 따라 본 채용이 거부 될 수도 있습니다., freertos 개발 경험과 지식",32,['임베디드']
알지티,7년,-,서울 금천구 디지털로10길 78 가산테라타워 10층,자율주행,", 당사제품에 대한 펌웨어 개발, 당사제품에 대한 하드웨어 설계 및 검증, 당사제품에 대한 시스템 통합, 당사제품에 대한 테스트 및 검증, 당사제품에 대한 문서작성, 기타 필요한 업무＜전형절차＞서류검토 ＞ 1차면접 ＞  임원면접 ＞ 최종합격 (절차는 변동될 수 있습니다.)＜유의사항＞허위사실이 발견될 경우 채용이 취소될 수 있습니다.",", 경력 : 3~7년차, 학력 : 전자공학, 로봇공학 관련 분야의 학사 이상 학위 소지자, 기술 : C/C++ 언어를 활용한 펌웨어 개발능력, 회로설계 및 PCB 레이아웃 설계 능력, 기타 : 임베디드 시스템에 대한 이해, 통신 프로토콜(UART, I2C, SPI 등..)에 대한 지식, 다양한 직무의 팀원들과의 원활한 커뮤니케이션 능력, 자율주행로봇 관련분야에서의 프로젝트 경험을 가진자, 전자공학, 로봇공학 관련 분야의 석사 이상 학위 소지자, 영어 능",33,"['학사', '설계', '학위', '프로젝트', '경험을', '석사', '영어', 'C', '임베디드']"
슈어소프트테크,3년,연봉업계평균이상,성남시 수정구 금토로80번길 37(금토동),자율주행,", 자동차 SW 엔지니어링 서비스 수행",", C 및 C++ 기반 개발 경력 3년 이상, 임베디드 시스템 또는 자율주행 시스템에 대한 구조 이해 가능자, 국제 표준/논문/기술문서 등 분석이 가능한자, SW 공학 관련 교육 경험이 있는 분, C/C++ 언어 분석 및 기본적인 개발에 어려움이 없는 분, 스크립트 언어(Python, Shell Script 등)를 다를 줄 아는분, 프로젝트 및 엔지니어링 매니저 역량을 갖춘 분, CARLA 시뮬레이터 운영 경험자, Unreal Graphic Engine",34,"['시스템', 'SW', '분석', '프로젝트', '논문', '자율주행', 'C', '임베디드', '공학', 'Python']"
컨트롤웍스,-,연봉업계평균이상,서울 강남구 언주로81길 13 진일빌딩 3층,자율주행,", 자율주행 시스템 설계 및 프로토타이핑- 자율주행 네트워크 구조 설계 및 구축- 자율주행 시스템 신호 인터페이스 설계 및 구현- 자율주행 보안시스템 설계 및 구축- 자율주행 시스템 구조 설계 및 패키징 최적화","[자격요건],  학사학위 이상(자동차공학, 기계공학, 로보틱스, 컴퓨터 공학, 전기전자 등 관련 분야 전공),  C/C++, Python 등을 활용한 프로그래밍 프로젝트 경험[채용절차], 서류전형   실무·임원면접  채용검진  최종합격(상황에 따라 실무면접이 별도로 진행될 수 있습니다.)[제출서류], 이력서, 자기소개서, 최종학력 성적증명서(90일 이내 발급), 포트폴리오(선택), 이력서 내 희망연봉 필수기재[근무조건], 근무형태: 정규직, 근무일시: ",35,"['로보틱스', '프로젝트', 'C', '공학', 'Python']"
에이모(AIMMO),5년,-,경기 성남시 분당구 벌말로 50번길 41 투아이센터 7층,자율주행,"- 센서 연동 (카메라, 라이다)- 엣지 디바이스 환경에서 딥러닝 모델 포팅- 딥러닝 모델 경량화","- 관련 분야 석사 학위 이상 소지자 및 유관 경력 5년 이상 이신 분 (알고리즘, 컴퓨터, 로봇 등)- 엣지 디바이스 개발 경험 있으신 분 (Embedded Linux)- 센서 연동 경험 있으신 분 (카메라, 라이다)- PyTorch Mobile, TensorFlow Lite, ONNX, NCNN, TensorRT 중 최소 1개 이상의 라이브러리를 사용해보신 분[필수 제출서류]- 자율 양식의 이력서└ 필수 포함내용: 성향 및 업무 가치관, 개발경험, ",36,"['알고리즘', '학위', '로봇', '석사', 'Embedded', 'Linux']"
