기업이름,고용형태,연봉,기업주소,키워드,담당업무,인덱스,필요역량
룩코,2년,-,"서울 강남구 테헤란로 43길 18, SC빌딩 6층",딥러닝,딥러닝 엔지니어 (전문연구요원 신규/전직 가능),68,"['학습', '개선', '분석', '데이터', 'Tensorflow', '성능', '딥러닝', '최적화', '엔지니어', '경력자', 'Python', '인공지능', '알고리즘', 'API', '이미지']"
스카이랩스(SkyLabs),-,-,"성남시 분당구 판교로 255번길 58, 씨즈타워 703호",딥러닝,딥러닝/머신러닝(AI) 개발자 (신입/병역특례 전문연구요원 가능),69,"['전공자', '컴퓨터공학', '머신러닝', '논문', '분석', '데이터', 'Tensorflow', '딥러닝', '프로젝트', 'Python', '알고리즘']"
딥브레인에이아이,24년,-,서울특별시 강남구 역삼로 7길 6,딥러닝,[400억↑투자] 머신러닝/딥러닝 엔지니어 (24년 편입 전문연구요원),70,"['석사', '컴퓨터공학', '전공자', '3D', '딥러닝', '영상처리', '경력자']"
㈜시스윈로보틱스,신입/경력,회사내규에 따름,경기 화성시 동탄기흥로 64-4 ,자율주행,"소프트웨어개발자,앱개발자,설계엔지니어,설비엔지니어,반도체엔지니어,IT·기술영업,필드엔지니어,기계엔지니어,R&D·연구원",71,"['석사', 'C', '학위', '박사', 'Python', 'ROS']"
하이콘소프트,경력무관,회사내규에 따름,서울 강서구 마곡중앙로 165,자율주행,"IT개발·데이터,연구·R&D",72,"['C', '자율주행', '머신러닝']"
베스텔라랩기업부설연구소,-,회사내규에 따름,경기도 안양시 동안구 호계동,자율주행,-,73,['석사']
현대엠시스템즈,경력2년,"연봉 3,000 만원 ~ 8,000 만원",경기도 수원시 영통구 신원로 88,자율주행,- 레이더 컨트롤보드 micom firmware 개발 - 감지센서류 micom firmware 개발 - Raddar 실차 / Bench 성능시험 및 튜...,74,[]
㈜넥스트칩,경력1년,회사내규에 따름,경기 성남시 분당구 판교역로 230 ,자율주행,총무,75,[]
현대엠시스템즈,경력무관,회사내규에 따름,경기도 수원시 영통구 신원로 88,자율주행,IT개발·데이터,76,"['C', '자율주행', 'Python', 'ROS']"
HL Klemove,신입/경력,회사내규에 따름,인천 연수구 하모니로 224,자율주행,"백엔드개발자,시스템엔지니어,소프트웨어개발자,기계엔지니어,R&D·연구원,하드웨어개발자,QA,전기·전자엔지니어,설계엔지니어,생...",77,"['API', 'C', 'Python', 'Linux', '설계', 'ROS']"
엑스와이지,경력무관,회사내규에 따름,서울 성동구 아차산로17길 48,자율주행,"빅데이터/AI, 응용프로그램개발",78,"['박사', '영어']"
HL그룹,경력,회사내규에 따름,경기도 성남시 수정구 금토로80번길 21,자율주행,신입-R&D-자율주행 시스템 설계 Engineer-판교 경력-R&D-자율주행 시스템 설계 Engineer-판교 전문연구요원-R&D-자율주행 시스템 ...,79,"['시스템', '자율주행']"
브이디에스,경력무관,회사내규에 따름,경기 부천시 송내대로 388,자율주행,생산,80,[]
디바인테크놀로지,경력1년,회사내규에 따름,경기 성남시 분당구 판교로289번길 20,자율주행,연구·R&D,81,['경력자']
㈜이젠시스,경력5년,"연봉 5,000 만원 ~ 6,000 만원",서울 금천구 가산디지털1로 168,자율주행,"웹개발자,앱개발자",82,[]
주식회사프리콘,경력2년,"연봉 3,500 만원 이상",경기도 안산시 단원구 원포공원1로 59,자율주행,2024년 엔지니어 기술지원 경력직 모집 [담당업무] ㆍ센서 제품에 대한 판매 및 기술 영업 ㆍ거래처 및 고객사에 대한 영업 관리 ※ ...,83,"['로봇', '영어']"
㈜로보티즈,신입/경력,회사내규에 따름,서울특별시 강서구 마곡중앙5로1길 37,자율주행,"소프트웨어개발자,머신러닝엔지니어",84,"['C', '자율주행', 'ROS']"
메타빌드㈜,신입/경력,"연봉 2,413 만원 ~ 2,413 만원",서울특별시 서초구 서초중앙로 62,자율주행,총무,85,['네트워크']
네이버랩스,경력무관,회사내규에 따름,경기 성남시 분당구 구미로 8,자율주행,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",86,['AI']
주식회사 마이크로시스템,경력무관,"연봉 3,000 만원 이상",경기도 용인시 처인구 명지로 116,자율주행,"지원자격 ㆍ경력 : 신입/경력 (년수무관)  영업팀 행정 사무원 채용 1. 관리업무 : 견적, 출고, 실적등 관리 2. 대응업무 :...",87,[]
카카오모빌리티,경력무관,회사내규에 따름,경기 성남시 분당구 판교역로 152,자율주행,"사무보조/문서작성, 자동차/조선/기계",88,[]
코가로보틱스 주식회사,신입,"연봉 3,200 만원 이상",경기도 성남시 중원구 사기막골로150번길 15,자율주행,로봇설치 및 서비스 - 서빙로봇 설치 및 as업무/운전면허 필수 ...,89,['공학']
코가로보틱스 주식회사,신입,"연봉 3,200 만원 이상",경기도 성남시 중원구 사기막골로150번길 15,자율주행,센서 액추에이터-구동장치 작동을 위한 센서설계 등 ...,90,['공학']
코가로보틱스 주식회사,신입,"연봉 3,200 만원 이상",경기도 성남시 중원구 사기막골로150번길 15,자율주행,제어회로 설계- 로봇 구동장치 설계 및 실행점검 3. ...,91,['공학']
코가로보틱스 주식회사,신입,"연봉 3,200 만원 이상",경기도 성남시 중원구 사기막골로150번길 15,자율주행,"전기전자 -서빙로봇 SW개발,프로그램설계 등 3. 참여...",92,['공학']
한국교통안전공단,신입/경력,회사내규에 따름,경기도 화성시 송산면 삼존로 200,자율주행,자율주행자동차안전연구원,93,[]
에이비씨랩스,경력무관,회사내규에 따름,경기 성남시 수정구 달래내로 46,자율주행,"마케팅 홍보 조사,기획 전략,IT개발 데이터 ,건설 건출, 영업 판매 무역",94,[]
네이버랩스,경력(1년이상),회사내규에 따름,경기 성남시 분당구 구미로 8,자율주행,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",95,"['딥러닝', '컴퓨터공학', '머신러닝', '협업']"
네이버랩스,경력(1년이상),회사내규에 따름,경기 성남시 분당구 구미로 8,자율주행,웹개발,96,"['컴퓨터공학', '최적화', '웹', '성능']"
위플로,신입/경력,회사내규에 따름,서울특별시 마포구 마포대로 122,드론,"회계,세무 - 정부 연구개발 과제 비용 정산 및 관리- 일반적인 회계 및 세무 업무- 비품 및 자산관리- 기타 경영지원 업무",97,[]
윈드위시,경력2년,회사내규에 따름,서울특별시 강서구 마곡중앙8로 14,드론,"S/W 엔지니어,HTML·DHTML 플랫폼 고도화",98,[]
태건측량엔지니어링주식회사,경력무관,"연봉 2,472만원 ~ 2,472만원",경기도 포천시 신북면 중앙로405번길 10,드론,"1. GIS DB구축을 전문으로하는 측량 및 지도제작 업체입니다. 2. 측지,지적관련 자격증 소지자, CAD활용 가능자와 공간정보 측량업무...",99,[]
제이씨현시스템㈜,경력1년,회사내규에 따름,서울 용산구 새창로45길 74,드론,"상품기획·MD,마케팅·홍보·조사,영업·판매·무역",100,"['SW', '드론']"
합자회사한빛,경력1년,"연봉 4,500 만원 이상",경기도 수원시 권선구 세지로140번길 15,드론,캐드도면 작성 드론 사진측량 현황측량 측량관련 자격증 소지자 우대,101,[]
"주식회사 엠더블유테크 (MW TECH Co.,Ltd.)",경력3년,"연봉 3,000 만원 ~ 10,000 만원",경기도 남양주시 화도읍 비룡로141번길 60,드론,"드론 탐지 레이다 및 제밍 용 안테나, 3축 제어 보드,펌웨어 설계, 초고주파용 마이크로스트립,웨이브가이드혼어레이안테나 설계, 이...",102,[]
한국교통안전공단,신입/경력,회사내규에 따름,경기도 화성시 송산면 삼존로 200,드론,화성드론자격센터 운영 보조 및 민원 응대/조종자격증 자격시험 업무 보조 및 민원 응대/실기평가과정 운영 보조 및 민원 응대,103,[]
스마티,경력2년,회사내규에 따름,경기 성남시 분당구 판교역로 221,드론,IT개발·데이터,104,"['시스템', '통신', '드론']"
포디게이트,신입/경력1년,월급 300 만원 ~ 300만원,경기도 안양시 동안구 시민대로109번길 29,드론,"담당업무ㆍ 드론 프로젝트 (용역사업/연구과제 등) 수행 - 항공촬영, 영화세트장 촬영 - 드론 촬영후 Reality Capture (데이터편집,...",105,['드론']
주식회사 쉴드론,경력1년,월급 300 만원 이상,서울특별시 금천구 벚꽃로 254,드론,"1. 전자회로 개발 2. DSP, STM32F 칩 사용 펌웨어 개발 3. 제어장치 개발 펌웨어",106,['임베디드']
비씨디이엔씨(BCDenc),경력무관,"연봉 2,500 만원 이상",경기도 양주시 광적면 부흥로 847,드론,당사는 드론개발 및 콘텐츠 제작하는 업체입니다. 아래와 같이 영업 및 관리 사무원 모집합니다. ㆍ영업 : 입찰공고 확인 및 관련 업...,107,['드론']
비씨디이엔씨(BCDenc),경력무관,"연봉 2,500 만원 이상",경기도 양주시 광적면 부흥로 847,드론,드론개발 및 제조업체입니다. 촬영물에 대한 영상 기획 및 후반 편집 가능하신분 모집하오니 관심있으신분은 지원해 주시기 바랍니다....,108,[]
주식회사드림티엔에스,경력무관,월급 230 만원 이상,경기도 성남시 분당구 성남대로 69,드론,담당업무 ㆍ3D Scanner 관련 기술 업무 ㆍ드론 라이다 운영 및 기술 업무 ㆍ위성 수신 측량 장비 기술 업무 ㆍ관련 전공자나 유경험...,109,[]
주식회사순돌이드론,경력무관,월급 250 만원 이상,경기도 하남시 하남대로 947,드론,"1. [모집분야] (주)순돌이드론 영업팀 신규/경력직(우대) 채용 2. [자격요건] ◼ 연령, 학력, 경력은 제한 없음 ◼ 당사 인사규정에 ...",110,[]
주식회사 트라이디,경력무관,"연봉 2,800 만원 ~ 3,200 만원",경기도 김포시 유현로 242,드론,모집부문 1) 수로측량 (현장직/내업직) - 선박을 이용한 멀티빔 수심측량 - 항만측량/항로측량/해안선측량 - 해저면 탐사 및 인공어초...,111,[]
위플로,신입/경력,회사내규에 따름,서울특별시 마포구 마포대로 122,드론,"회계,세무 - 정부 연구개발 과제 비용 정산 및 관리- 일반적인 회계 및 세무 업무- 비품 및 자산관리- 기타 경영지원 업무",112,[]
윈드위시,경력2년,회사내규에 따름,서울특별시 강서구 마곡중앙8로 14,드론,"S/W 엔지니어,HTML·DHTML 플랫폼 고도화",113,[]
태건측량엔지니어링주식회사,경력무관,"연봉 2,472만원 ~ 2,472만원",경기도 포천시 신북면 중앙로405번길 10,드론,"1. GIS DB구축을 전문으로하는 측량 및 지도제작 업체입니다. 2. 측지,지적관련 자격증 소지자, CAD활용 가능자와 공간정보 측량업무...",114,[]
제이씨현시스템㈜,경력1년,회사내규에 따름,서울 용산구 새창로45길 74,드론,"상품기획·MD,마케팅·홍보·조사,영업·판매·무역",115,"['SW', '드론']"
합자회사한빛,경력1년,"연봉 4,500 만원 이상",경기도 수원시 권선구 세지로140번길 15,드론,캐드도면 작성 드론 사진측량 현황측량 측량관련 자격증 소지자 우대,116,[]
"주식회사 엠더블유테크 (MW TECH Co.,Ltd.)",경력3년,"연봉 3,000 만원 ~ 10,000 만원",경기도 남양주시 화도읍 비룡로141번길 60,드론,"드론 탐지 레이다 및 제밍 용 안테나, 3축 제어 보드,펌웨어 설계, 초고주파용 마이크로스트립,웨이브가이드혼어레이안테나 설계, 이...",117,[]
한국교통안전공단,신입/경력,회사내규에 따름,경기도 화성시 송산면 삼존로 200,드론,화성드론자격센터 운영 보조 및 민원 응대/조종자격증 자격시험 업무 보조 및 민원 응대/실기평가과정 운영 보조 및 민원 응대,118,[]
