기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
(주)블럭나인,경력3년,회사내규에 따름,서울 금천구,로봇 제어, 생산,(주)블럭나인 로봇자동화사업부 채용공고
위드테크놀로지주식회사,경력무관,"연봉 3,200 만원 이상",경기도 성남시 중원구,로봇 제어," 반도체,LCD,OLED, 2차전지,PCB라인 등의 자동화 프로그램을 개발하는 벤쳐 회사입니다. 업무는 Visual C++등을 이용하여 로봇, 장비...","응용 프로그래머 모집 (Visual C++ , PLC)"
한국로봇융합연구원,경력,회사내규에 따름,서울 종로구 ,로봇 제어, 정규직-연구직-연구과제기획 정규직-연구직-로봇SW(포항) 정규직-연구직-기계설계 정규직-연구직-로봇제어 정규직-연구직-임베디드전...,-
(주)로보로보,신입/경력1년,회사내규에 따름,서울 강북구,로봇 제어," 생산,연구·R&D",로보로보 로봇 기구설계 엔지니어 채용 공고
(주)마가커피,경력무관,월급 350 만원 ~ 400 만원,경기도 안산시 단원구,로봇 제어," 자동화 소프트웨어 개발 무인 자동화 커피 하우스 관련 1.자동화 프로그램 설계 및 제작 : 자동화 소프트웨어개발, 프로그램 구조설계...",자동화 소프트웨어 개발
부원,경력무관,"연봉 3,000 만원 ~ 3,300 만원",경기도 안산시 단원구,로봇 제어, - 자동차 로봇 지그 설치 - 지방 및 해외 출장 가능자(신체적 제약이 없는자) - 운전 가능자 우대,자동차 로봇 지그 엔지니어 신입/경력직 모집
(주)고송이엔지,경력무관,"연봉 3,000 만원 ~ 4,500 만원",경기도 화성시 동탄산단6길,로봇 제어," 담당업무 ㆍPLC를 이용한 장비 제어 설계.(Mitsubishi, LS산전,기타),전장 설계, 시퀀스 설계 ( E PLAN ),제어 프로그래밍, 지원...","전장설계, PLC 제어, FA 프로그램 정규직 채용"
주식회사한국NSD,경력5년,월급 300 만원 이상,경기도 김포시 양촌읍,로봇 제어, 전자부품개발 CNC 공작기계 컨트롤러 개발 PCB Artwork CNC 제어 보드 개발 로봇제어 서브모터제어,PCB Artwork 설계
주식회사용선에이엠티,경력무관,월급 206 만원 ~ 206 만원,경기도 화성시 서신면,로봇 제어, 가공품을 용접기계가 잘 작업이 되게 합니다,단순 생산직
㈜로보티즈,경력무관,회사내규에 따름,서울 강서구,로봇 제어," 생산·공정관리자,물류관리자",-
엘에스메카피온(주),경력1년,회사내규에 따름,경기 안양시 동안구 ,로봇 제어," 전기·전자,FPGA,펌웨어(Firmware),PCB,DSP 서보드라이브 F/W 개발",-
메리텍산업,신입/경력,회사내규에 따름,경기 안산시 단원구 ,로봇 제어," 자동제어,PLC 전기제어, 다관절로봇(티칭) 조작가능자 우대",자동화기기 전기제어 신입/경력(다관절로봇 티칭 우대) 모집
㈜로보티즈,경력3년,회사내규에 따름,서울 강서구,로봇 제어," 기계엔지니어,R&D·연구원,설계엔지니어",[다관절로봇] 설계/제어/SW 개발자 모집의 건
주식회사프리콘,경력2년,"연봉 3,500 만원 이상",경기도 안산시 단원구,로봇 제어, 2024년 엔지니어 기술지원 경력직 모집 [담당업무] ㆍ센서 제품에 대한 판매 및 기술 영업 ㆍ거래처 및 고객사에 대한 영업 관리 ※ ...,기술영업(엔지니어) 경력직 채용
㈜ABB코리아,신입/경력,회사내규에 따름,서울 강남구 ,로봇 제어," 마케팅기획,사무보조,인사담당자,HRD·HRM,회계담당자,경리,세무담당자,AE(광고기획자),온라인마케터,홍보,앱개발자,시스템엔지니어,...",-
㈜로보티즈,신입/경력,회사내규에 따름,서울 강서구,로봇 제어," 소프트웨어개발자,머신러닝엔지니어",[실외자율주행로봇 연구개발] 비전 인식 딥러닝 및 Localization
코아닉스,경력무관,"연봉 3,000 만원 ~ 6,000 만원",경기도 용인시 기흥구,로봇 제어," [모집요건] - 제어부분 → PLC Program(Mitsubishi, TwinCAT, AB, Siemens, Servo Motion등) → PC Program(C++, C#, .Net...",자동제어(PLC)프로그램/전장배선 모집
(주)미래컴퍼니,경력3년,회사내규에 따름,경기 용인시 기흥구 ,로봇 제어," PLC,시스템엔지니어,제어,기구설계,반도체,자동제어",-
주식회사 모엔,경력5년,"연봉 4,000 만원 이상",경기도 수원시 권선구,로봇 제어, 당사는 Roll to Roll Converting 장비를 수주 받아 개발하여 납품하는 산업용기계를 전문으로 하는 기계 장비 제작회사입니다. 당...,-
엑스와이지,경력무관,회사내규에 따름,서울 성동구,로봇 제어," 응용프로그램개발, DBA/데이터베이스",[서비스 로봇] 로봇 제어 엔지니어 채용
(주)우정테크,경력3년,"연봉 3,000 만원 이상",경기도 부천시 신흥로511번길,로봇 제어, (주)우정테크는 1996년에 설립한 화장품 제조 자동화 장비 전문업체입니다. 지난 20여 년간 축적한 풍부한 경험과 독보적인 기술력을 ...,자동화 기계 설계 신입 및 경력자 모집
(주)우정테크,경력무관,"연봉 3,000 만원 이상",경기도 부천시 신흥로511번길,로봇 제어, 생산부 자동화기계 조립 채용 직무: 기계조립 (자동화기기 조립) - 학력: 학력무관 - 경력: 신입 및 경력 - [우대조건] 인근거주자 동...,생산부 자동화기계 조립원 채용
주식회사창공에프에이,경력3년,"연봉 4,000 만원 이상",경기도 화성시 동탄산단3길,로봇 제어," Motion Engineer를 초빙합니다. - BOSCH, YASKAWA 교육 이수 후 현장 시운전 - Servo, Linear, Motion Control 설치 시운전 ...",-
㈜로보티즈,경력무관,회사내규에 따름,서울 강서구,로봇 제어, 해외영업,[로보티즈] 자율주행로봇 일본영업담당 (경력)
올팩주식회사,경력3년,월급 300 만원 ~ 500 만원,경기도 광주시 초월읍,로봇 제어, 물류센터 풀필먼트 자동 시스템 개발 물류 최첨단 풀필먼트 운영에 필요한 시스템 개발 및 운영 설비자동화(plc제어) 운영 효율성 향...,-
㈜로보티즈,경력1년,회사내규에 따름,서울 강서구,로봇 제어," 영업관리,영업지원",-
(주)헬릭스(HELIX Inc.),신입,"연봉 3,000 만원 ~ 3,200 만원",경기도 화성시 동탄기흥로,로봇 제어," 반도체 웨이퍼 반송 로봇 제조 및 설치, 수리 [로봇기구개발 > 로봇부품 검사 및 조립] 입고 검사하기,조립하기 [로봇유지보수 >...",-
수퍼빈 주식회사,경력1년,"연봉 3,200 만원 ~ 8,000 만원",경기도 화성시 우정읍,로봇 제어, 1. 주요업무 -. 생산 스케줄 수립 및 가동율 관리 -. 설비 예방보전 계획 수립 및 Trouble shooting -. 설비 정비 표준 매뉴얼 구...,[수퍼빈(주)] 생산 및 설비 관리
코가로보틱스 주식회사,신입,"연봉 3,200 만원 이상",경기도 성남시 중원구,로봇 제어, <2023. 성남 청년채용박람회 참여기업> 1. 모집직종 : 제어회로 설계- 로봇 구동장치 설계 및 실행점검 2. 모집인원 : 2명 3. ...,-
주식회사티에스피지(TSPG),경력무관,"연봉 4,000 만원 ~ 8,000 만원",경기도 안산시 단원구,로봇 제어," 물류자동화설비 전장설계, PLC프로그램, 설비시운전 기술자. 셔틀랙자동창고시스템, MDPS System, AS/RS스테커크레인, 미니로드, 미...","물류자동화설비 전장설계, PLC프로그램, 미쯔비스PLC, LS PLC, 시운전"
주식회사 글로벌 로보틱스,경력무관,월급 230 만원 ~ 300 만원,경기도 안산시 단원구,로봇 제어, 로봇티칭 업무,(주)글로벌로보틱스 생산부서(로봇팀) 직원채용
주식회사 글로벌 로보틱스,경력무관,월급 230 만원 ~ 300 만원,경기도 안산시 단원구,로봇 제어, 기계 조립 및 설치 업무,(주)글로벌로보틱스 생산부서(F.A팀) 직원채용
㈜에스앤에스,신입/경력,회사내규에 따름,경기 여주시 ,로봇 제어," PL·PM·PO,경영지원,사무담당자,총무,HRD·HRM,노무관리자,구매관리자,자재관리자,설치·수리기사,정비기사,전기·전자엔지니어,기계엔...",-
