기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
컨트롤웍스,-,연봉업계평균이상,서울 강남구 언주로81길 13 진일빌딩 3층,자율주행,", 자율주행 시스템 설계 및 프로토타이핑- 자율주행 네트워크 구조 설계 및 구축- 자율주행 시스템 신호 인터페이스 설계 및 구현- 자율주행 보안시스템 설계 및 구축- 자율주행 시스템 구조 설계 및 패키징 최적화","[자격요건],  학사학위 이상(자동차공학, 기계공학, 로보틱스, 컴퓨터 공학, 전기전자 등 관련 분야 전공),  C/C++, Python 등을 활용한 프로그래밍 프로젝트 경험[채용절차], 서류전형   실무·임원면접  채용검진  최종합격(상황에 따라 실무면접이 별도로 진행될 수 있습니다.)[제출서류], 이력서, 자기소개서, 최종학력 성적증명서(90일 이내 발급), 포트폴리오(선택), 이력서 내 희망연봉 필수기재[근무조건], 근무형태: 정규직, 근무일시: 주 5일(월~금), 시차출근제, 급여조건: 협의 후 결정,  자율주행 프로젝트 수행 경험 보유자,  자율주행 시스템에 대한 전반적인 이해"
슈어소프트테크,3년,연봉업계평균이상,성남시 수정구 금토로80번길 37(금토동),자율주행,", 자동차 SW 엔지니어링 서비스 수행",", C 및 C++ 기반 개발 경력 3년 이상, 임베디드 시스템 또는 자율주행 시스템에 대한 구조 이해 가능자, 국제 표준/논문/기술문서 등 분석이 가능한자, SW 공학 관련 교육 경험이 있는 분, C/C++ 언어 분석 및 기본적인 개발에 어려움이 없는 분, 스크립트 언어(Python, Shell Script 등)를 다를 줄 아는분, 프로젝트 및 엔지니어링 매니저 역량을 갖춘 분, CARLA 시뮬레이터 운영 경험자, Unreal Graphic Engine 활용 및 분석 경험자"
에이모(AIMMO),5년,-,경기 성남시 분당구 벌말로 50번길 41 투아이센터 7층,자율주행,"- 센서 연동 (카메라, 라이다)- 엣지 디바이스 환경에서 딥러닝 모델 포팅- 딥러닝 모델 경량화","- 관련 분야 석사 학위 이상 소지자 및 유관 경력 5년 이상 이신 분 (알고리즘, 컴퓨터, 로봇 등)- 엣지 디바이스 개발 경험 있으신 분 (Embedded Linux)- 센서 연동 경험 있으신 분 (카메라, 라이다)- PyTorch Mobile, TensorFlow Lite, ONNX, NCNN, TensorRT 중 최소 1개 이상의 라이브러리를 사용해보신 분[필수 제출서류]- 자율 양식의 이력서└ 필수 포함내용: 성향 및 업무 가치관, 개발경험, 성공 및 실패 경험(협업 or 프로젝트 진행 관련)- 개발 성과/협업 경험을 보여줄 수 있는 포트폴리오[채용 프로세스]코딩테스트-＞ 1차면접 -＞ 2차면접 -＞ 합격자 인터뷰 -＞ 최종 합격- 숙련된 프로그래밍 능력 (C++, Python, Shell)- 엣지 디바이스 환경에서 딥러닝 모델 포팅 및 추론 경험- 딥러닝 모델 경량화 경험"
클로봇,2년,연봉업계평균이상,"성남시 분당구 성남대로925번길 16, 7층 701호 (야탑동)",자율주행,", 동적 환경에서의 강인한 주행 알고리즘 개발 및 배포, 주행 예외 상황 대처를 위한 Behavior 개발, 새로운 주행 알고리즘 또는 기존 주행 알고리즘 개선 부분에 대한 평가 및 검증, 알고리즘 설계 및 구현에 대한 내용 문서화, 양산 로봇에 적용 가능한 좋은 품질의 코드 작성",", 로보틱스, 컴퓨터 공학 또는 관련 학과의 학사 이상 학위 소지자, 자율주행 알고리즘에 대한 기본적인 이해, C++/Python 이용 개발 경험 보유, SW 자료구조, 알고리즘 디자인에 대한 기본 지식 보유, 팀원과의 원활한 소통 및 협업 능력 보유, 해당 분야 석사, 박사 학위 혹은 2년 이상의 개발 경력, Git을 이용한 버전 관리 경험 보유, Linux, ROS 이용 개발 경험 보유"
긴트,4년,연봉업계평균이상,"경기도 성남시 분당구 판교로 228번길 17, 판교벤처밸리 2단지 1동 4층 긴트",자율주행,", 농기계 자율주행 및 AI 관련 해외 논문 조사 및 요약, 농경지 자율주행을 위한 전역/지역 경로 생성 알고리즘 개발, 경로 추종 제어 알고리즘 개발, 농기계 위치/자세/주행 상태를 추정하는 센서 퓨전 알고리즘 개발, 농기계 주행 상황에서 센서 노이즈 제거 시스템 개발",", 학력 : 대졸(4년제)이상, 경력 : 경력 2년 이상(석사학위 인정), Matlab(Simulink), C/C++, Python 프로그래밍 언어 사용 가능한 분, 수학적 지식 보유자(선형 대수, 공업 수학, 확률, 최적화 기법 등), 기계, 컴퓨터, 자동차, 제어, 로봇공학 관련 전공, 자율주행 및 AI 관련 해외 학회/저널 논문 게재 경험, GNSS, IMU에 대한 이해, 차량 동역학에 대한 이해"
뷰런테크놀로지,2년,-,"서초구 강남대로 311, 19층",자율주행,ㆍ주행전략 및 판단 알고리즘 개발 및 실차검증ㆍ경로생성 로직 개발 및 실차검증ㆍ모델기반 제어로직 개발 및 실차검증,"ㆍ관련분야 경력 2년 이상이신 분ㆍ관련분야(자동차 공학, 기계공학, 로보틱스 등) 학사 학위자 이상이신 분ㆍ자율주행 Planning 로직 개발 경력이 있으신 분ㆍC/C++,Python 관련 언어 지식이 높으신 분ㆍ관련분야(차량 주행 제어 및 주행 판단 등) 석/박사 학위가 있으신 분ㆍLiDAR, 비전센서 관련된 전문지식을 가지고 있으신 분ㆍ자율주행/ADAS 기술에 관심을 가지고 있으신 분ㆍ차량 모델 identification 설계/개발 경력이 있으신 분"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,", 로봇 모션 제어 Motion Control, 로봇 경로 생성 Path Planning",", C/C++, ROS, Linux, Ubuntu-	자율주행 관련 학위 (석사/박사)-	기계공학-	컴퓨터 공학-	자율주행 S/W 개발 경험"
포티투닷(42dot),5년,연봉상위6~10%,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층",자율주행,", Processing camera & radar perception, Implementation of object modeling, Algorithm performance optimization, Design performance evaluation metrics and implement evaluation pipeline",", 유관 경력 5년차 이상 (박사 졸업 예정자 지원 가능), 자율주행 기술에 사용되는 센서들에 대한 깊은 이해, State Estimation, Multi-target Tracking & Data Association, 카메라 geometry에 대한 이해, 선형대수, 확률 및 통계, 디지털신호처리에 대한 전공지식, 숙련된 프로그래밍 기술(C/C++, Python 등), Camera, Radar, IMU 등 다양한 종류의 센서 사용 경험, ADAS 및 자율주행과 관련된 프로젝트 참여 혹은 개발 경험, 다양한 개발 환경 및 라이브러리 사용 경험"
포티투닷(42dot),5년,연봉상위6~10%,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층",자율주행,", 자율주행 중 수집되는 다양한 센서, 동영상 데이터를 이용하여 label을 자동으로 생성하는 알고리즘 및 자동화 시스템을 개발, 아래 주제들과 관련된 연구 개발- Dataset and evaluation- Active learning- Network architecture search- Transfer/ low-shot/ long-tail learning- Efficient learning and inference- Privacy",", 5년 이상 실무 경험(박사 졸업 예정자 지원 가능), 컴퓨터공학, 전자공학, 수학, 통계 및 기계학습과 관련된 전공의 석사/박사 학위, 혹은 동등한 경력, 선형대수, 확률, 신호처리, 기계학습에 대한 전공지식, 숙련된 프로그래밍 (C/C++, Python 등) 기술, 자율주행 및 로보틱스 관련 개발 경험- Object detection- Semantic segmentation- Depth estimation- Transformer based model, 학습 자동화 파이프라인 시스템 구축 및 활용 경험, 관련 분야 저서/학술활동 이력 (CVPR, ICCV, ECCV, NeurIPS, AAAI  등), 새로운 문제를 발견하고 해결하는 것을 즐기시는 분"
포티투닷(42dot),7년,연봉상위6~10%,"서울특별시 강남구 남부순환로 2621 (도곡동, 서브원 강남빌딩) 9층",자율주행,", 자율주행 차량용 인포테인먼트 및 모바일 어플리케이션 UX 설계 및 UI 디자인, 사용자(승객/세이프티 드라이버)를 위한 편리한 이동 경험 디자인, 자율주행 시대의 모빌리티 시나리오를 연구하고 새로운 사용자 경험 제안",", 최소 7년 이상의 UX 디자인 프로젝트 경험 (모바일 UI 필수), Digital Product의 UX 설계부터 UI 디자인, 개발 후 QA 및 운영 과정을 진행해 본 경험, 서비스 방향 및 정책에 기반한 User Flow를 설계하고 구체화 할 수 있는 역량, User Research를 직접 설계하고 실행할 수 있는 경험, 포트폴리오 제출 필수, 모빌리티 서비스 및 차량용 인포테인먼트 시스템 프로젝트 경험, Figma를 활용하여 화면을 설계하고 커뮤니케이션할 수 있는 역량, 데이터를 분석하여 최적의 아이디어를 제안하고 시각화할 수 있는 역량, 디자인 System 구축 및 제작 경험"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,", Camera / Lidar Sensor Fusion, Object Pose Estimation, Object Shape Estimation, Object Velocity Estimation, Other General Object Info",", Perception 관련 개발, C/C++ , Python, ROS, 자율주행 관련 개발, 자율주행 경력, 자율주행 학과"
에스티피씨,-,-,성남시 분당구 성남대로69 로드랜드EZ타워,자율주행,", SLAM / Localization, Lidar / Vision Based SLAM",", C/C++ , ROS , Lidar/Camera Sensor working experience,, SLAM 경험, Lidar / Camera 센서 관련 개발"
