,기업이름,담당업무,연봉,고용형태,키워드,기업주소,필요역량
25,(주)유비소시어스,웹프로그래머,,경력3년↑,딥러닝," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ","


인공지능 자동개발 플랫폼 전문기업, 풀스택 개발자 모집 - 인크루트 채용














인공지능 자동개발 플랫폼 전문기업, 풀스택 개발자 모집본 공고에 지원하시면 성심성의껏 진행하겠습니다.




모집부문 및 자격요건






모집부문
담당업무
자격요건 및 우대사항
인원




풀스택 개발- 인공지능 기술이 탑재된 React 기반 웹 프론트엔드 (front-end) 개발- 딥러닝 자동 개발 Framework 설계 및 개발- 범용/대용량 데이터 처리를 위한 API, Backend Architecture 설계 및 개발- 안정적인 운영을 위한 서버 모니터링, 배포 자동화 인프라 구축

[자격조건]- 개발 경력 3년 이상- 능숙한 업무 툴(Python, AWS, GCP, Git, RESTful API 등) 사용가능자[우대사항]- [웹] React, HTML5, CSS3, 웹 접근성과 표준에 대한 개발 경험- Agile Process 경험- 단위 Test 기반 개발 경험 혹은 문서화 라이브러리 사용 경험- FastAPI, Django 등 웹 프레임워크 사용 경험- 형상관리 도구(Git, SVN)를 통한 프로젝트 관리 및 협업 경험- RDB, NoSQL에 대한 이해도 및 사용 능력[기타사항]- 정규직, 주 5일 근무(탄력적 근무가능)- 근무지: 서울 여의도역 근처

1 명





근무조건
고용형태: 정규직 주 5일 근무 근무지: 서울 여의도역 (참고로, 서울시 금천구는 HR컨설팅회사 위치입니다)근무부서: 개발팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접전형 > 최종심사 > 최종합격


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자유양식담당자 : 오기범전무연락처 : ***-****-****이메일 : linkhuman@naver.com******@*******.***


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
26,주식회사 브랜드미,빅데이터·AI(인공지능),,경력(연차무관),딥러닝," 서울특별시 서초구 효령로 412 (서초동,대호빌딩)3 층 ","


[TTS 엔지니어 채용] AI기업, 복지 상위 수준 - 인크루트 채용
















주식회사 브랜드미
[TTS 엔지니어 채용] AI기업, 복지 상위 수준



모집부문 및 자격요건






담당업무
자격요건
인원




담당업무- 자사 TTS 머신러닝/딥러닝 알고리즘 개발 및 서비스화(acoustic model, vocoder, denoising 등) - 자사 TTS 관련 선행 연구 및 프로토타입 개발


[자격요건]- 컴퓨터사이언스 전공 또는 학부에 상응하는 커리큘럼을 이수하신 분 - 알고리즘에 대한 높은 이해도와 머신러닝, TTS 분야에 대한 이해도- 해당 분야의 경험을 바탕으로 TTS 프로젝트를 리딩이 가능한 분- 스스로 문제를 정의하고 이를 해결하기 위한 모델링이 가능한 분[우대사항]- 관련 분야 박사 학위 소지자 혹은 이에 준하는 역량을 보유하신 분 - 관련 국제 컨퍼런스/저널 논문의 저자이신 분- Kaggle 등 관련 competition 입상 기록을 보유하신 분- 제한된 환경 내에서도 최대한 솔루션을 찾으려는 의지가 있는 분- 문제해결을 즐기고, 신기술 학습을 좋아하시는 분 - 주변 동료들과 협업이 가능하며 책임감이 강한 분- 열정을 갖고 자기주도적으로 업무를 수행하시는 분[복지 및 혜택]- 원격근무, 시차출퇴근, 휴가 자기결재 제도 운영- 최신 업무장비 제공, 업무장비 비용 지원- 복지 포인트 120만원 지급- 리조트/콘도 이용 혜택- 리프레시 휴가 및 휴가비 지원, 장기근속 포상, 자녀 초등학교 입학 선물- 눈 건강도 놓치지 않도록, 아이웨어 쇼핑몰 라운즈(ROUNZ) 할인 혜택 - 어학교육비 지원- 도서 구매 지원- 교육/세미나/컨퍼런스 지원- 정규 교육과정 학비 지원- 백신 휴가등 etc

1 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
27,(주)유비소시어스,웹프로그래머,,경력3년↑,딥러닝," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ","


인공지능 자동개발 플랫폼 전문기업, 백엔드 개발자 모집 - 인크루트 채용














인공지능 자동개발 플랫폼 전문기업, 백엔드 개발자 모집본 공고에 지원하시면 성심성의껏 진행하겠습니다.




모집부문 및 자격요건






모집부문
담당업무
자격요건 및 우대사항
인원




백엔드 개발- 딥러닝 자동 개발 Framework 설계 및 개발- 범용/대용량 데이터 처리를 위한 API, Backend Architecture 설계 및 개발- 안정적인 운영을 위한 서버 모니터링, 배포 자동화 인프라 구축- 더 나은 고객 경험을 제공하기 위한 서비스 개선 및 최적화 활동

[자격조건]- 백엔드 개발 경력 3년 이상- 한 가지 이상의 언어를 능숙하게 다루실 수 있는 분- 자료구조, 알고리즘, 데이터베이스, 네트워크 등 전산 지식을 활용한 문제 해결 능력- 지속적으로 변화하는 비지니스를 빠르게 파악하고 알맞은 데이터 모델과 API를 설계할 수 있는 능력[우대사항]- FastAPI, Django 등 웹 프레임워크 사용 경험- AWS, GCP, Azure 등 클라우드 플랫폼 사용 경험 및 클라우드 기반 웹 서비스에 대한 이해도- Docker, Kubernetes 등 가상화 관련 플랫폼 사용 경험- 형상관리 도구(Git, SVN)를 통한 프로젝트 관리/협업 경험- RDB, NoSQL에 대한 이해도 및 사용능력[기타사항]- 정규직, 주 5일 근무(탄력적 근무가능)- 근무지: 서울 여의도역 근처

1 명





근무조건
고용형태: 정규직 주 5일 근무 근무지: 서울 여의도역 (참고로, 서울시 금천구는 HR컨설팅회사 위치입니다)근무부서: 개발팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접전형 > 최종심사 > 최종합격


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자유양식담당자 : 오기범전무연락처 : ***-****-****이메일 : linkhuman@naver.com******@*******.***


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
28,제이앤파트너즈코리아 (주),빅데이터·AI(인공지능),,경력20년↑,딥러닝," 서울특별시 용산구 한강대로43길 8 103동 1306호(한강로2가,벽산메가트리움) ","


AI 개발 실장(이사) - 경력 20년 이상  [e-러닝 전문교육 기업] - 인크루트 채용















AI 개발 실장(이사)-경력 20년 이상e-러닝 전문교육 기업  




모집부문 및 자격요건






담당업무
자격요건
인원




       [담당업무] 신규사업 및 각종 프로젝트 관리 총괄인공지능 플랫폼 구축 및 기획 총괄딥러닝,머신러닝 활용 예측 모델 개발 및 빅데이터 분석 총괄HW,SW 제품 기획 총괄

[자격요건]해당 직무 관련 20년 이상대형 프로젝트 동시 총괄 경험PM,PL,DBA 경험 다수 보유AWS에 대한 높은 이해도       [우대사항]학사 이상에듀테크 사업에 대한 높은 이해도고급 통계 분석 알고리즘 이해 및 활용 능력 보유고객 패턴 예측, 서비스 추천, 로그분석 등 다양한 데이터 분석 및 활용 능력 보유비정형 데이터 분석 경험최신 데이터 분석 트랜드(딥러닝 활용 등)에 대한 이해 및 활용 경험       
1 명





근무조건
급여조건: 연봉 연봉범위


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격제출한 서류는 일체 반환하지 않음이력서, 자기소개서


접수방법
채용시까지
접수방법: 인크루트 채용시스템접수양식: 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
29,세미브레인(주),"ERP·시스템분석·설계, 빅데이터·AI(인공지능)",,신입/경력(연차무관),딥러닝, 서울특별시 강남구 역삼로 169 4층 A호실 ,"


뉴로모픽 컴퓨팅 소프트웨어 연구 개발직 /신입, 경력 모집 - 인크루트 채용













우리 회사를 한 줄로 표현해주세요우리 회사에 대해 4줄 이내로 소개해주세요세미브레인(주)뉴로모픽 컴퓨팅 소프트웨어 연구 개발직 /신입, 경력 모집

모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




뉴로모픽 컴퓨팅 소프트웨어 연구 개발

[담당업무]- 딥러닝 프레임워크를 이용한 모델 최적화/ 경량화 기술 연구 개발-  그래프 컴파일러 기술 연구 개발- Processing -in - memory 기반 인공지능 칩을 위한 SDK 개발- SDK 개발 경험자 또는 MLIR/TVM 경험자 우대[근무부서 및 직급/직책]근무부서: 기업부설연구소직급/직책: 연구원


[자격요건]경력사항: 신입, 경력()학력사항: 대학(2,3년)졸업 이상[우대사항]전공계열: 공학계열

0 명

 Neuromorphic Computing Engineer  [담당업무]- 임베디드 플래시 및 SoC 회로 설계, 시뮬레이션, 레이아웃, 검증 - 테스트 칩에서 동작 검증 및 불량 분석[근무부서 및 직급/직책]근무부서: 기업부설연구소직급/직책: 사원, 팀장   [자격요건]경력사항: 신입, 경력(연차무관)학력사항: 대학(2,3년)졸업 이상[우대사항]전공계열: 공학계열외국어: 영어 회화가능,독해가능,작문가능  0 명



근무조건
고용형태: 정규직, 계약직(근무기간 협의 후 결정), 인턴(근무기간 협의 후 결정, 정규직 전환검토)근무부서: 기업부설연구소인근지하철역: 서울2호선 역삼 (2번 출구에서 1km이내), 신분당선 강남 (4번 출구에서 1km이내)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
30,메이븐클라우드서비스(주),IT·문화·직업강사,,경력1년↑,딥러닝," 서울 강남구 언주로 609 B동 14층 (논현동,팍스타워) ","


[Maven] 러닝센터 프리랜서 강사Pool 모집 - 인크루트 채용













우리 회사를 한 줄로 표현해주세요메이븐클라우드서비스(주)[Maven] 러닝센터 프리랜서 강사Pool 모집우리 회사에 대해 4줄 이내로 소개해주세요

모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




데이터 엔지니어링부트캠프 교육

[담당업무]
ㆍChat GPT, Spark&Flink, Python, SQL, MLOps Pipeline구축, 딥러닝/인공지능 관련 교육


경력(1년 이상 )

00 명


데이터 사이언스부트캠프 교육

[담당업무]
ㆍChat GPT, Spark&Flink, Python, SQL, MLOps Pipeline구축, BI 관련 교육


경력(1년 이상 )

00 명


클라우드 네트워크교육

[담당업무]
ㆍMLOps Pipeline구축, 온프라미스 구축 경험자(Infra, 서버, 네트워크), AWS인프라 구축 관련 교육


경력(1년 이상 )

00 명


Microsoft Power Platform교육

[담당업무]
ㆍAutomate Flow, Automate Desktop, Power BI, Fabric 관련 교육


경력(1년 이상 )

00 명


Microsoft365 교육

[담당업무]
ㆍMicrosoft365 사용자 관련 교육


경력(1년 이상 )

00 명


Microsoft365보안 교육

[담당업무]
ㆍAzure Defender, Microsoft Defender, DLP 정책 관련 교육


경력(1년 이상 )

00 명


  Microsoft365  관리자 교육

[담당업무]
ㆍAD 설정 방법, 조건부 액세스 및 관리센터에 보안 정책 관련 교육 


경력(1년 이상 )

00 명





우대사항

IT학원 강사 재직자/경력자
관련 업무 종사자관련 자격증 소지자
프로젝트 참여 경험자(Power Platform 활용한 개발, MLOps PipeLine 구축, 데이터 마트 구축 등) 
근무조건고용형태: 프리랜서(근무기간 협의 후 결정)인근지하철역: 서울7호선 학동, 서울9호선 언주급여조건: 강의 시간에 따른 강의료 지급 (강의는 한 타임 최소 4시간으로 편성)


전형단계 및 제출서류

전형단계: 서류전형 > 면접/시강 진행 > 인재Pool등록
제출서류 : 이력서, 자기소개서



접수방법
상시채용

접수방법: 인크루트 채용시스템, 이메일
접수양식: 인크루트 이력서



기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
31,(주)피플케어코리아,"전자·반도체, 빅데이터·AI(인공지능)",,경력10년↑,딥러닝," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층 ","


AI 총괄 리더 (반도체 계측/측정장비) - 인크루트 채용













About the Job 국내 산업용 장비 (반도체분석기/계측 측정기) 기업Position: AI 총괄 리더 (CTO 검토 가능) * 신규법인 계열사Job Description- 반도체장비 SW머신러닝, AI 총괄- AI / Machine Learning 모델 개발검토 사항- 석/박사 우대- 10년 이상의 관련 경력- AI/머신러닝/블록체인/메타버스 등 개발 리드 경험- AI개발, ML, Deep Learning, 영상처리  머신비전 / 딥러닝 / 인공지능, 영상분석, 컴퓨터 비전 & 머신러닝 엔지니어How to Apply- 경력중심이력서 (MS Word format)- Email to lauren@peoplecare.co.kr******@*******.***- PM: LAUREN Exe. Director- Mob. ***-****-****       






"
32,(주)유비소시어스,네트워크·서버·보안,,경력2년↑,딥러닝," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ","


의료 인공지능 플랫폼 전문기업, 인프라운영 경력자 모집 - 인크루트 채용














의료 인공지능 플랫폼 전문기업, 인프라운영 경력자 모집본 공고에 지원하시면 성심성의껏 진행하겠습니다.




모집부문 및 자격요건






모집부문
담당업무
자격요건 및 우대사항
인원




인프라운영[포지션]- 사내 인프라운영팀- 팀장급 1명 (10년 이상)- 과장급 1명 (5년 이상)- 대리,사원급 1명 (2년 이상)[담당업무]* 사내/IDC IT 인프라 관리  - 사내 개발 및 서비스 인프라 구축 및 운영- IDC내 자사 서비스 인프라 구축 및 운영- 딥러닝 관련 인프라 운영 및 관리 - 사내 네트워크 및 정보보호 시스템 운영- 사내 전산장비 관리

[자격조건]- linux, network, docker, x86서버, 방화벽(UTM), 스토리지 등 지식 보유- IT인프라 구축 및 유지보수 유경험자- 가상화 시스템 구축 및 운영 관리 유경험자 [우대사항/필수아님]- 관련학과 전공자 우대- kubernetes, ceph, cloud, windows, 정보보안, vmware 등 지식 보유 우대- IT 관련 자격증 소지자 우대- 정보보호 관련 업무 유경험자 우대- Cloud 관련 이해 및 운영 유경험자 우대[기타사항]- 정규직, 주 5일 근무 (9:30 ~ 6:30)- 연봉 : 회사내규 (전직장 대비 BaseUp으로 협의)- 근무지 : 서울 구로구, 7호선 남구로역 500m

3 명





근무조건
고용형태: 정규직 주 5일 근무 근무지: 서울 구로구 남구로역, 참고로 서울시 금천구는 HR컨설팅회사 위치입니다.근무부서: 인프라운영팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접전형 > 최종심사 > 최종합격


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자유양식담당자 : 오기범파트너(전무)연락처 : ***-****-****이메일 : linkhuman@naver.com******@*******.***


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
33,(주)두원전자통신,"네트워크·서버·보안, 통신·모바일, 빅데이터·AI(인공지능)",,경력2년↑,딥러닝," 경기도 부천시 석천로 397 (삼정동,부천테크노파크쌍용3차) ","


(주)두원전자통신 부문별 개발 담당자 모집 - 인크루트 채용
















(주)두원전자통신기술연구소 부문별 개발 담당자 모집




모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




1. 윈도우 어플리케이션 개발 담당자2. 인공지능(AI) 개발 담당자

[담당업무]1. 영상보안 관제 SW 개발.[담당업무]1. 비전 인식을 위한 딥러닝 기술 개발   컴퓨터 비전, 패턴인식, 머신러닝 기반   영상보안 응용 프로그램 개발.[근무부서 및 직급/직책]근무부서: 연구소직급/직책: 연구원, 주임연구원, 선임연구원, 팀원


[자격요건]경력사항: 경력(2년 이상 )학력사항: 대학(2,3년)졸업 이상[우대사항] - 윈도우즈 S/W 개발 경력 2년 이상 - C++, C#(.Net Framework) 개발 기술 보유 - 영상보안(CCTV) 스트리밍 개발 경험 보유 - 서버 - 클라이언트 네트워크 프로그래밍 경험. - 서버 RTP/RTSP 프로토콜 이해[자격요건]경력사항: 경력(2년 이상 )학력사항: 대학(2,3년)졸업 이상[우대사항] - Deep Learning 기술 개발. - 컴퓨터 비전, 패턴인식 개발 경험 유 - 머신러닝 / 딥러닝 경험 - Object detection / classification. - Object tracking . recognition - Feature extraction - 딥러닝 프레임워크(TensorFlow, Pytorch 등)

00 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 연구소급여조건: 연봉 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
34,제이엠피코리아(주),"응용프로그래머, 빅데이터·AI(인공지능)",,신입/경력(연차무관),딥러닝," 서울특별시 영등포구 영신로 220 (영등포동8가,KnK디지털타워) 1301호 ","


[국비무료/취업실무준비]금융데이터 분석 서비스 전문가 교육생 모집 - 인크루트 채용













#핀테크기업 #증권사 #금융권 # 카드사 #서울디지털인재개발원금융데이터 분석 서비스 전문가교육생 모집서울디지털인재개발원은 서울 구로구 디지털로26길 111 (구로동, 제이앤케이디지털타워)에 위치하고 있으며, 23년도 고용노동부 5년 우수훈련기관으로, 국비지원, K-digital, #핀데크 #빅데이터 #딥러닝 관련 교육을 제공 하고 있습니다.비전공자도 충분히 할 수 있는 금융빅데이터 분석가 / 개발을  원하는 커리어를 지금 시작해보세요.  금융데이터 분석 전문자는 어떤과정인가요? 비전공자도 가능한, 금융취업까지 한번에 끝내는 과정으로 금융데이터 수집 기초부터 실무 프로젝트까지  완성하는 K-Digital Training 과정 입니다.금융데이터 분석 서비스 전문가 되기 위한 120일간의 여정- STEP 01 : 파이썬, 웹크롤링/Rest API을 활용한 데이터수집, 데이터 베이스 & SQL- STEP 02 : BI(Business intellingence), 데이터수집 & 시각화 프로젝트 실습- STEP 03 : 머신러닝/딥러닝 개론 및 실습, CNN, RNN, 금융데이터 분석 이론 및 실습- STEP 04 : 딥러닝기반 자연어처리, 챗봇구현 프로젝트 실습- STEP 05:  현업에 맞는 금융데이터 분석 기술 활용한 프로젝트- STEP 06: 현업에서 근무하는멘토링 및 취업성공을 위한 밀착 취업 서비스  교육비 및 지원 사항     ㆍ교육비 9,147,840원 전액 무료 (★국민내일배움카드 1회 한정 )        ㆍ매월 훈련 수당 : 316,000원(★국민내일배움카드 실업자 유형만 해당)     ㆍPC장비 보유 : 노트북 필참 X  전형절차 - 수강신청 후 순차적으로 연락드립니다. (신청 후 2~3일이내 소요) 자격조건 및 사항자격요건 ㆍ학력 : 고졸이상 (대졸 우대)ㆍ내일배움카드소지 혹은 소지 예정자ㆍ맞춤 상담을 통하여, 자격 확인 후, 진행 합니다.1. 수강신청 후 순차적으로 연락드립니다.(신청 후 2~3일이내 소요) 2. 국민내일배움카드는 교육 시작 전 실물카드를 수령하여야 하며, 발급까지는 1주일 정도 소요되기 때문에   사전에 미리 발급 신청하여 주시기 바랍니다.   국민내일배움카드 문의사항 : 고용노동부 1350 혹은 가까운 고용복지센터 방문 3. 교육 상담 문의 : 서울디지털인재개발원   - 전화 :  ***-****-****   - 1:1 카톡 상담 : https://open.kakao.com/o/sL86vC4e   - 상담 신청하기 : https://forms.gle/rfP78RYXCU8G28gM8    - 상세과정 설명 웹페이지: www.korea-hrd.co.kr






"
35,(주)크래프톤,게임(Game),,경력10년↑,딥러닝," 서울특별시 강남구 테헤란로 231 (역삼동,센터필드) EAST타워 28-35층 ","


[AI] Deep Learning Service Dev Leader (10년 이상) - 인크루트 채용













 크래프톤은 차별화된 크리에이티브를 가진 글로벌 제작 스튜디오들과 고유한 즐거움이 있는 게임을 발굴하여 전 세계에 퍼블리싱합니다.우리는 지속적인 도전과 새로운 기술로 게임의 즐거움을 혁신하고, 더 많은 팬들에게 사랑받을 수 있도록 플랫폼과 서비스를 확장합니다.우리는 열정과 의지를 지닌 동료들과 함께 성장하며, 글로벌 시장에서 인정받는 게임의 명가로 나아가고 있습니다.  KRAFTON is dedicated to identifying and publishing games worldwide that offer a uniquely enjoyable experience, crafted by our globally recognized production studios known for their distinctive creativity.We continuously push the boundaries of gaming enjoyment by embracing new challenges and technologies, expanding our platforms and services to captivate an even larger fan base.In collaboration with our passionate and driven team, we strive to establish ourselves as a renowned creator of masterpieces in the global gaming market. 우리 팀(프로젝트)을 소개합니다. 딥러닝본부는 인공지는 기술을 통해 게임산업 혁신을 이끌기 위해 설립된 크래프톤 산하 연구 조직입니다. 우리는 딥러닝 연구/개발을 통해, 게임 제작자들이 더 재미있고 새로운 게임을 창작할 수 있는 내일을 만들어 나가고자 합니다.더 나아가, 누구나 함께 희로애락을 나눌 수 있는 버추얼 프랜드를 만들어 게임과 소통을 하나로 연결하고자 합니다. 이 도전의 원동력은 KRAFTON AI 구성원들의 열망과 사명감, 그리고 최고의 실력에서 비롯됩니다.딥러닝서비스실은 딥러닝 기반 서비스 및 제품을 개발하고, 사내 딥러닝 활용을 높히기 위한 각종 전략을 수립하고 실행하는 부서입니다. 딥러닝 서비스 개발 부문의 리더로서, 혁신적인 제품 개발과 운영, 딥러닝 기술을 활용한 솔루션 제공 및 의사결정 지원을 위한 인사이트 제공 역할을 담당하실 분을 모십니다.우리 팀과 함께할 미션을 소개합니다.사내외 대상 딥러닝 서비스/제품을 개발하고 운영합니다.딥러닝 본부 내 연구 조직 및 사내 퍼블리싱 조직 등 다양한 부서와 긴밀하게 협력하여 크래프톤의 딥러닝 기술 활용 방안을 개발합니다. 국내외 다양한 스튜디오 및 파트너와 협력하여 게임 제작의 효율 및 생산성을 증진시킬 수 있는 딥러닝 기반 프로덕트의 개발과 운영을 관리합니다. 비즈니스 목표를 달성하기 위해 딥러닝 기술과 프로세스를 활용한 비용 효율적이고 효과적인 운영 환경을 구축합니다.  이런 경험을 가진 분과 함께 성장하고 싶습니다! (필수요건)전산학, 인공지능, 산업공학 또는 관련 분야의 석사 학위 이상 또는 학사 학위IT/게임 산업에서 플랫폼 엔지니어링, 시스템 아키텍처, 또는 백엔드 시스템 개발 및 데브옵스 분야에서 최소 10년 이상의 경력 10명 이상 규모의 개발 조직 운영 및 팀 리더로서 코칭 경험 라이브 서비스/프로덕트 개발 경험 및 지속적 개선(운영)을 주도한 경험 원활한 영어, 한국어 커뮤니케이션 능력 변화하는 기술 환경에 능동적으로 적응하고 새로운 기술 및 접근 방식을 빠르게 통합하는 능력이런 경험들이 있다면 저희가 찾는 그 분입니다! (우대요건)클라우드 기반 서비스 개발 및 관리 경험비즈니스 목표와 기술적 실행을 연결하는 혁신적인 솔루션을 제안할 수 있는 강력한 전략적 사고력 20명 이상 규모의 개발 조직 운영 및 팀 리더로서 코칭 경험 최신 딥러닝 프레임워크와 도구에 대한 깊은 이해와 숙련도 게임 엔진 및 게임 개발에 대한 관심과 이해도  크래프톤의 도전에 함께 하기 위해 아래의 전형 과정이 필요합니다.서류 전형 > 전화 인터뷰 (Phone Interview) >  실무 면접 (Technical Fit Interview) > 최종 면접 (Culture Fit Interview) > 합격 및 입사상시채용으로 우수 인재 채용 시 조기에 마감될 수 있습니다.전형별 합격자에 대해 지원서에 등록하신 이메일 혹은 유선으로 개별 안내 드립니다.전화 인터뷰의 경우, 필수 전형이 아닌 필요에 따라 진행되는 선택 전형임을 사전 안내 드립니다. 이에 대한 상세 내용은 개별 안내 드립니다.필요 시 면접은 추가될 수 있으며, 이에 대한 상세 내용은 개별 안내 드립니다.  필요 서류를 확인해주세요!입사지원서 (자유 양식), 자기소개서, 경력기술서, 포트폴리오(선택)신입일 경우 자기소개서를, 경력일 경우 경력기술서를 중심으로 기술해 주시기 바랍니다.포트폴리오 첨부 시, 하단 안내 사항을 확인해 주시기 바랍니다.  근무지역삼 센터필드 East 타워 고용형태 정규직  아래 안내 사항을 확인해주세요!장애인 및 국가유공자 등 취업 보호 대상자는 관계 법령에 따라 우대합니다.자격 요건이 충족된다면, 서로 다른 모집 공고에 대한 중복지원이 가능합니다.지원서 내용 중 허위사실이 있는 경우에는 합격이 취소될 수 있습니다.채용 전형 중 궁금하신 항목은 크래프톤 채용 FAQ 내에서 확인하실 수 있습니다. 기타 궁금하신 사항은 이메일(career@krafton.com******@*******.***)로 문의 바랍니다.BE BOLD, LEARN AND WIN! 크래프톤의 성장과 도전의 스토리를 알아가고 싶다면? 크래프톤 제작 스튜디오크래프톤 게임 크래프톤 비전 & 핵심가치크래프톤 라이프 & 복리후생크래프톤 공식 유튜브 채널배틀그라운드 공식 유튜브 채널크래프톤 인스타그램크래프톤 블로그






"
36,주식회사 딥브레인에이아이,빅데이터·AI(인공지능),,신입/경력(연차무관),딥러닝, 서울특별시 강남구 역삼로7길 6 성룡빌딩 ,"


[인공지능기업] 머신러닝 병역특례 전문연구요원 모집 - 인크루트 채용















주식회사 머니브레인
[인공지능기업] 머신러닝 병역특례 전문연구요원 모집



모집부문 및 자격요건
담당업무자격요건인원
[안드로이드/iOS 모바일 개발자]- 인공지능영어회화 앱 개발- 안드로이드 앱 개발- iOS 앱 개발────────────────​[Full-stack 개발자]- 인공지능 대화 앱 개발- 대화형 인공지능 플랫폼 및 빌더 개발────────────────[Deep Learning / Python 개발자]- 머신러닝 NLP/음성/영상 기술 개발- Python, Tensorflow 개발

[자격요건]- 안드로이드 또는 iOS 개발경력 3년 이상- 웹뷰-네이티브 연동을 통한 하이브리드 기술 개발 경험- 안드로이드/iOS 동시 개발 가능자────────────────[자격요건]- 웹서비스 개발 경력 3년 이상- MEAN Stack 사용 경험  (NodelJS, MongoDB, Angular, React)- 모바일 웹 또는 하이브리드앱 개발 경험[우대사항]- 대용량 처리 혹은 100만 회원 이상 서비스 개발 경험- 다양한 프로그래밍 언어 사용 가능자────────────────[자격요건]- 파이썬 개발 경험 2년 이상- 머신러닝/딥러닝 개발 경험[우대사항]- 공학/자연계열 석사/박사학위 소지자
0 명


근무조건
고용형태: 병역특례(현역, 보충역, 전문연구요원, 산업기능요원, 전직가능)인근전철역: 서울2호선 강남 (1번 출구에서 400m이내)급여조건: 연봉 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종합격- 전형일정은 변경될 수 있습니다.- 개발자에 한해 코딩테스트가 진행될 수 있습니다.- 합격자에 한해 개별 통보 안내 드립니다.


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
