,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
10,웹뜰 주식회사,신입/경력1~5년,," 서울특별시 성동구 아차산로 17 703호, 704호 (성수동1가,서울숲엘타워) ",드론,유통·상품기획·MD,"


패션 온라인MD 신입/경력  채용 - 인크루트 채용













우리 회사를 한 줄로 표현해주세요우리 회사에 대해 4줄 이내로 소개해주세요웹뜰 주식회사패션 온라인MD 신입/경력  채용

모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




패션 온라인MD

[담당업무]ㆍ각 브랜드 담당 온라인MD 매출목표 달성ㆍ상품 판매율 관리, 행사 기획 및 영업ㆍ온라인 MD (운영 브랜드)- 여성 : 조이너스, 꼼빠니아- 언더: 세컨스킨- 남성 : by파크랜드_보스트로, 오스틴리드- 캐주얼 : 뱅뱅, 행텐 외- 아웃도어 : 아이더, 다이나핏, 마모트,- 마운티아 , 레드페이스 외- 골프/ 스포츠 : 와이드앵글, 힐크릭, 엘레쎄- 삼성물산 : 토리버치, 띠어리, 레이블씨[근무부서 및 직급/직책]근무부서: MD팀직급/직책: 사원, 대리, 팀원


[자격요건]ㆍ경력사항: 신입, 경력(1년 이상 5년 이하)ㆍ학력사항: 학력무관[우대사항]ㆍ패션 온라인MD 경력 최소 1년 이상 ㆍ목표 달성율이 높고, 상품 판매율 관리를 잘하시는 분 ㆍ엑셀 고급 능력을 갖추신 분 ㆍ위탁, 사입, 벤더에 대한 경험과 이해가 높으신 분  ㆍ책임감 있고,긍정적이며 능동적이신 분

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: MD팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종합격제출서류: 이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
11,(주)프리뉴,경력2년↑,," 경기도 안산시 단원구 산단로 325 (신길동,리드 스마트스퀘어 지식산업센터) F-501호 ~ 503호 ",드론,"연구원·연구개발, 원자력·우주·조선·철강, 기계·금속·재료","


[(주)프리뉴] 기업부설연구소 무인항공기 구조/공력 설계 - 인크루트 채용


















(주) 프리뉴 기업부설연구소 무인항공기 구조/공력 설계 채용





모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




                    무인항공기 구조/공력 설계

[담당업무]- 무인기/ 드론 구조 설계 : 무인항공기/ 드론 구조설계 및 제작 구현[근무부서 및 직급/직책]근무부서: 기업부설연구소 직급 : 연구원/ 전임 연구원


[자격요건]-필수사항- 경력사항: 경력 2년 이상- 3D CAD 설계 능력, 복합소재(cfrp) 구조 설계- 구조설계/해석의 경험 및 지식- 무인항공기/드론 시스템에 대한 경험 및 지식- 무인항공기/드론 공력 및 추진시스템에 대한 경험 및 지식

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무지역: (15426) 경기 안산시 단원구 산단로 325 리드 스마트스퀘어 지식산업센터 513, 514호(신길동) 급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
12,(주)프리뉴,경력2년↑,," 경기도 안산시 단원구 산단로 325 (신길동,리드 스마트스퀘어 지식산업센터) F-501호 ~ 503호 ",드론,"생산·조립·가공·포장·검품, 품질관리, 전자·반도체","


(주)프리뉴 생산기술본부 지원팀 채용 - 인크루트 채용
















(주)프리뉴
생산기술본부 지원팀 채용



모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무] - 외부 요청에 의한 비행용역, 비행시연 등의    기체 조종 업무 - 기체에 대한 하드웨어 파트의 정비 업무 - 고객사의 운용지원을 위한 운용교육업무 - 무인항공관련 학술회, 전시회 등의 지원업무[근무부서 및 직급/직책]- 근무부서:  생산기술본부 지원팀- 직급/직책: 팀원

[자격요건]_- 초경량비행장치 무인멀티콥터 1종- 운전면허 소지자(2종 보통 이상)

2 명





근무조건
고용형태: 정규직 (수습기간3개월 공통)근무부서: 생산기술본부 지원팀근무지역: 경기도 안산시 단원구 신길동 1229 안산스마트스퀘어 501, 502, 503호, 513호, 514호급여조건: 연봉 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 1차 실무자 면접 >  2차 대표이사 면접  > 최종합격추가 제출서류이력서에 연락처, 희망연봉 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형


접수방법
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


복리후생

연금보험 : 4대보험 및 퇴직연금 (DC)사내문화 :  스포츠 동호회, 사우회사내복지 : 중식 및 간식 제공, 직무교육비 지원, 대학(원) 등록금 지원, 경조금, 상조서비스 지원, 장기근속사원 감사보너스 및 휴가, 생일자 조기퇴근, 월 1회 조기퇴근, 공기청정기, 법인 리조트 이














"
13,(주)스타리치어드바이져,신입/경력(연차무관),," 서울특별시 강남구 강남대로62길 3 7층 (역삼동,한진빌딩)   ",드론,"경영·기획·전략, 세무·회계, 금융·보험영업","


법인영업, 경영컨설팅 외 신입/경력 위촉직 채용 - 인크루트 채용
















(주)스타리치어드바이져법인영업, 경영컨설팅 외 신입/경력 위촉직 채용*현재 소속되어 일하시는 곳에서 이직을 원하시나요?*개인영업에 정체된 Pool로 매일매일 만날 고객(사업자)가 없어 고민이신가요?*개인영업에서 법인영업시장으로 전환을 원하시나요?*법인영업을 현재도 하고 계시지만..., 솔루션이나 실무처리를 보강하면서 더욱 큰 성장을 하고 싶은가요?*실무를 배우고 싶은데 무엇을 어디서부터 배워야할지 막막하신가요?*법인영업을 위한 교육을 위해 외부교육이라도 듣고 싶은데 막대한 교육비가 부담스러운가요?(주)스타리치어드바이저는 법인영업의 사관학교라 불립니다. 그 곳에서 소수정예로 팀을 꾸려 좋은 성과를 내고 있는 곳에서 확장을 위해 신규팀원을 모집합니다.주당 2~4개의 양질의 DB를 회사에서 무료로 제공하며회사 자체교육은 물론, 팀내부의 역량강화교육은 다른 여타의 고액 외부교육 보다 더 현실적인 도움이되는 고퀄리티 자체교육시스템을 갖추고 있습니다.주저하는 순간, 최고의 팀에서 일할 기회가 사라집니다.우선, 상담하시고 직접 느끼시고 함께 할 판단하세요.지금 바로, 아래 연락처로 상담 문의 바랍니다. 문자나 이메일 모두 환영합니다!!Tel) ***-****-****    || email) modoree@naver.com******@*******.****모집부문 및 자격요건









담당업무
자격요건
인원





[담당업무]법인기업들의 경영컨설팅 업무: 재무회계, 세무회계, 절세컨설팅, 경영전반컨설팅, 기업자본거래 컨설팅, 노무, 법무 컨설팅


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 학력무관기타: 보험영업, 대면영업, 부동산영업, 병원영업, 화장품영업  모든 업종의 대면영업 경력자 특별 우대개인보험영업에서 법인사업자영업 전환 희망자 특별 우대현재 법인컨설팅 영업자의 이직 적극 환영세무사사무소의 사무장 출신 특별 우대[우대사항]전공계열: 상경계열, 법학계열, 해당무

00 명





근무조건
고용형태: 위촉직(근무기간 협의 후 결정)급여조건: 건별 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
상시채용
접수방법: 인크루트 채용시스템, 우편, 이메일, 전화/휴대폰접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.주저하는 순간, 최고의 팀에서 일하면서 자기 성장, 성과 향상, 매출 향상, 컨설팅 실력 향상의 기회를 잃게 됩니다.일단, 저희 팀들과 폭넓은 대화를 통해 법인영업의 매력을 느껴보세요.열정과 성실함을 갖고 계시다면, 조금도 망설일 이유가 없습니다.동반성장을 실천하는 팀에서 소수정예요원 충원의 기회를 잡아보세요. 00










"
14,(주)잡뉴스솔로몬서치,경력5~15년,," 서울특별시 서초구 방배로 39 1층 104호 (방배동,미주빌딩) ",드론,경영·기획·전략,"


(긴급)  DT 전략기획  팀원(경력5~15년)   그룹IT 전문기업     서울시중구 - 인크루트 채용




















Job Profile - DT 전략 기획


　
　
　
　
　


기본 정보(Basic Data)


직무명
DT전략
  기획 팀원
경력
만 5년 이상~ 만 15년 이하


부서명
디지털라이제이션총괄팀


근무지
□ 
  국가(Region) : 대한민국


□ 
  근무처 소재지 : 서울중구


직위 정보 (Position Information)


직위 그룹 계열사 DT 추진을 
  leading 할 수 있는 전문가


역할 및 책임
    (Role& Responsibility)
. 그룹 DT Vision 및전략수립
  - 계열사 DT Vision 및전략수립지원
  - 계열사제품과서비스디지털화, 주요 Value Chain 혁신전략수립및지원
  -  파트너사들과
  Co-Innovation 추진


주요 과업그룹 계열사의 DT 전환 추진 리딩 및 지원


필요요건(Qualification)


Knowledge
- AI, Big Data, Cloud 등최신
  Digtital Technology
    - 전통 기업 비즈니스 애플리케이션
  ERP/MES/PLM/CRM 등 컨설팅 및 운영
    - 제조 Industry 비즈니스 혹은 애플리케이션 경험 (발전, 산업용차량, 전자소재, 로봇, 드론등)
    - 프로젝트관리, 전략수립, 컨설팅방법론 


Skill
전략 기획 및 컨설팅, 문제해결, 커뮤니케이션, Reporting,  프로젝트 리딩


필요 경력사항
- 국내/해외 다양한 제조/수주 산업군 DT 수행 경험자, 대기업 CDO조직 근무 및
  Global 컨설팅사 출신 우대


기타
- 영어 Fluent 선호
    - R&R 및 Knowledge 측면에서 특정 분야를 깊히 경험하였고, 지식과 경험의 확장 의지가 있으신 분
근무지---------------서울 중구 채용절차------------서류전형 → 인성검사 →1차 면접(전문성 PI, Structured Interview)  → 경영진 면접  → 건강검진제출서류------------이력서, 경력기술서  ""하나님은 당신을 사랑하십니다""국내 최대 경력직 인재추천 NO 1 헤드헌팅 기업 입니다.가장 빠르고 신뢰있게 기업(구인)과 인재(구직)를 연결해드리겠습니다.  (주)잡뉴스솔로몬서치       이 범 구       경영학박사/ 이사통)070-7712-4818  / mobile) ***-****-**** M) lbg1989@jobnews.co.kr   lbg1989@naver.com******@*******.*** http://www.solomonsearch.co.kr







"
15,(주)유비파이,신입/경력(연차무관),," 서울특별시 관악구 남부순환로 1962 (봉천동,정호진 아트힐) 2층 ",드론,광고·CG·시각디자인,"


모션그래픽디자인, 그래픽디자인 외 신입/경력 정규직, 알바 채용 - 인크루트 채용
















(주)유비파이드론라이트쇼 / 웹사이트 디자이너 모집




모집부문 및 자격요건






담당업무
자격요건
인원




드론라이트쇼 디자인웹사이트 디자인드론 디자인

[자격요건]디자인 전공자 디자인 tool 사용 가능자

1 명




입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.
유비파이 소개UVify (유비파이) 는 로보틱스 기술을 통해 세상을 바꾸고자 노력하는 드론 스타트업 입니다.인공지능에 기반한 자율비행드론과, 세계 최초의 상용 군집비행드론을 만드는 UVify (유비파이) 는 기술로 공간의 가치를 높이고 인류의 삶을 증진시키는 사명을 수행 중에 있습니다.유비파이의 상상력을 실현하기 위하여 함께 하고자 하는 인재를 기다리고 있습니다.저희는 최첨단의 정밀 로보틱스 기술을 통해, 전에 없던 비즈니스를 창출하고 고객에게 새로운 가치를 부여하고자 기술과 제품개발에 매진하고 있습니다.드론 시스템 전반에 대한 자체 기술력을 갖춘 유비파이는 군집드론 IFO의 자체 개발 및 양산에 성공 하였으며 세계 1위 점유율을 향해 달성해나가고 있습니다.디자인 팀 소개유비파이 디자인팀은 드론라이트쇼 컨텐츠를 제작하여 쇼 주제에 맞는 KEY VISUAL을 밤하늘에 그려내고, 이를 통해 많은 사람들에게 즐거움과 감동을 선사합니다. 고객의 니즈를 파악해 크리에이티브한 아이디어를 기획하고, 드론의 정밀한 움직임과 LED 효과를 음악과 함께 연출하고 있으며 이를 위해 드론 개발부터 디자인, 연출, 기획, 마케팅까지 디자인팀에서 주체적으로 리드하고 있습니다.현재까지 샤넬, 현대자동차, 청와대 등 국내 최대규모의 행사들을 도맡아 진행해왔으며, 전세계적으로도 그 실력을 인정받아 최고의 드론라이트쇼 팀을 만들고자 당신을 기다리고 있습니다.담당업무드론라이트쇼 시안 기획, 디자인, 간단한 모션 연출정해진 드론대수 내에서 표현할 수 있는 센스있는 이미지와 아이디어 기획웹사이트, SNS, 마케팅 관련 비쥬얼이미지 제작자격요건드론쇼 주제에 맞는 컨텐츠를 기획하고, 크리에이티브한 아이디어를 낼 수 있는 분드론라이트쇼 관련주제의 KEY VISUAL을 시각적으로 표현할 수 있는 분긍정적이고 논리적인 방식으로 의사결정 할 수 있는 능력을 갖추고 계신 분팀원들과 유연하고 원활하게 커뮤니케이션 할 수 있는 분근무조건면접시 연봉협의우대사항Photoshop / Illustrator 등 기본적인 디자인 툴 사용이 가능하신분새로운 기술분야에 관심이 많고 힙한 디자이너가 되고 싶은 분많은 사람들에게 즐거움과 감동을 선사하는 것에 보람을 느끼시는 분매 프로젝트마다 새로움을 즐기고 즉각적으로 구현되는것에 희열을 느끼시는 분 복지혜택유연 출퇴근 ( 9시 ~ 11시 사이 자유출근, 저녁 6시~8시 자율 퇴근 )고사양 PC 및 업무장비 지원 ( 디자인 관련 태블릿 , 노트북 등 )자기계발 비용 무제한 지원 ( 책 / E-book / 인터넷강의 / 오프라인 세미나 등 )자유로운 휴가 사용개인 기호에 맞는 과자 / 음료 / 커피 무료 제공













"
16,(주)유나이티드이미징헬스케어코리아,신입/경력(연차무관),," 서울특별시 서초구 매헌로 16 리빙관 3층 315호 (양재동,하이브랜드) ",드론,"기술영업, 광학·의료장비","


의료기기 MRI Application Specialist 인턴 채용 - 인크루트 채용

















(주)유나이티드이미징헬스케어코리아
의료기기 MRI Application Specialist 인턴 채용
유나이티드이미징헬스케어코리아(United Imaging Healthcare Korea Co., Ltd.)는 첨단 의료 영상 및 방사선 치료 장비를 개발 및 생산하는 회사입니다. 본사는 중국 상해, 미국 텍사스 휴스턴 두 곳에 위치해 있으며, 2019년에 한국 지사가 설립되었습니다.https://www.united-imaging.com




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




MRI Application Specialist 

[담당업무]ㆍMR 교육, Product presentation, 고객 관리, Marketing, Modality 팀 내 협업, 경쟁사 분석 등ㆍ장비 및 고객 관련 지방 출장, 해외 출장 및 교육 다수[근무부서 및 직급/직책]직급/직책: 사원


[자격요건]경력사항: 신입, 경력()학력사항: 대학교(4년)졸업직무기술: MRI, Application Specialist, Modality[우대사항]전공계열: 자연과학계열, 공학계열, 의/약학계열외국어: 영어 회화능통,독해가능,작문가능자격증: TOEIC우대사항: 해당직무인턴경력자, 차량소지자, 운전가능자

0 명





근무조건
고용형태: 인턴(근무기간 협의 후 결정, 정규직 전환검토)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류영문이력서, 국문이력서,  자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
17,세종대학교,신입/경력(연차무관),,(143-747) 광진구 군자동 98 세종대학교 ,드론,일반사무·사무지원,"


우주항공드론공학부 우주항공공학전공 계약직원 모집 공고 - 인크루트 채용













1. 모집 내용 : 우주항공드론공학부 우주항공공학전공 학과 계약직원 모집 2. 모집 인원 : 1명 3. 지원자격1) 학사학위 소지자, 사립학교 교직원 임용에 결격사유가 없는 자 (필수)2) 컴퓨터 활용 (한글, MS오피스 등) 능숙자 (우대)3) 2023. 2월, 2023. 8월 본교 졸업자 (우대) 4. 근무 조건1) 급 여 : 연봉 24,372,000원2) 근무시작 : 2024년 02월 01일3) 채용기간 : 임용일로부터 6개월(6개월 근무 후, 근무 평가에 따라 재계약 가능)* 연속적으로 세종대학교에 근무한 자는 합산 2년을 초과할 수 없음.4) 근무시간 : 월~금 09:00~18:005) 보험 : 4대보험 가입(국민연금, 건강보험, 고용보험, 산재보험) 5. 채용 절차 및 지원 방법 1) 채용 절차- 서류심사 및 면접심사 (면접은 서류 전형 합격자에 한해 개별 통지) 2) 지원 방법 - 지원 방법 : 입사지원서(양식 첨부) aerodpt@sejong.ac.kr******@*******.***로 제출 - 지원기한 : 2023년 12월 28일 ~ 채용시까지 6. 문의처 : ***-****-****  붙임 : 입사지원서 1부






"
18,제이앤파트너즈코리아 (주),경력4~15년,," 서울특별시 용산구 한강대로43길 8 103동 1306호(한강로2가,벽산메가트리움) ",드론,섬유·화학,"


[코스메틱]  영상촬영/ 영상편집 - 인크루트 채용













※︎영상촬영[담당업무]•︎영상촬영, 조명 라이팅•︎비주얼(모델 및 제품) 영상촬영 , 라이팅•︎화장품 제형, 효능 및 뷰티 테크놀로지 관련 영상 촬영, 라이팅•︎다양한 디지털 미디어 환경에 들어갈 뷰티 영상 촬영, 라이팅 ​[필수사항]•︎뷰티 분야 콘텐츠 촬영 및 조명 라이팅•︎관련 경력 4년~15년•︎포트폴리오 (본인 기여부분 기재, PDF형식)  제출​[우대사항]•︎영상편집, 컬러그레이딩•︎동영상 편집툴 (프리미어, 다빈치리졸브 등) 능숙 사용 가능자•︎드론 촬영 가능자•︎상업 콘텐츠 기획, 연출, 제작에 주도적으로 참여한 경험•︎뷰티 분야 트렌드 및 다양한 브랜드에 대한 이해도가 높은 분•︎다양한 채널에 대한 이해도가 높은 분​※︎영상편집[담당업무]•︎영상, 편집, 컬러그레이딩 •︎비주얼(모델 및 제품) 편집, 후반작업•︎화장품 제형, 효능 및 뷰티 테크놀로지 관련 영상 편집, 후반 작업•︎다양한 디지털 미디어 환경에 들어갈 뷰티 영상 편집 , 후반작업 ​[필수사항]•︎동영상 편집툴 ( 프리미어, 다빈치리졸브 등) 능숙 사용 가능자•︎관련 경력 4년~15년 •︎포트폴리오 (본인 기여부분 기재, PDF형식)  제출​[우대사항]•︎2D, 3D 모션그래픽•︎영상합성, 컴포지팅•︎뷰티 분야 트렌드 및 다양한 브랜드에 대한 이해도가 높은 분•︎다양한 채널에 대한 이해도가 높은 분​ 감사합니다! ​[근무지] 판교[제출서류] 워드작성 국문이력서 (경력기술서포함)[제출기한] ASAP​[전형절차] 원서접수 ▶ 서류전형 ▶역량면접 ▶최종면접 ▶최종합격[근무형태] 정규직 (수습3개월) ​ ​ 궁금하신 사항은 연락주시기 바랍니다.감사합니다.제이앤파트너즈코리아 원옥수 상무 / Christina Won chrisy.won@jnpartners.kr******@*******.*** / ***-****-**** ﻿  ﻿






"
19,(주)스카우트파트너스,경력3~16년,," 서울특별시 강남구 테헤란로44길 5 대아빌딩 5층, 6층(역삼동) ",드론,"구매·자재, 유통·상품기획·MD, 웹기획·웹마케팅·PM","


음향.촬영기기MD (오디오.스피커.카메라) 유통 대기업 - 인크루트 채용













* 유통 대기업 / 상장/  연매출 0조원 / 정규직 / 연봉협의 (현재이상)    근무지: 서울 본사 (전국 소재 지점 출장 가능자)1. 음향기기/촬영기기 CMD 관리자급 (8년이상) - 1명■ 수행업무- 음향기기/촬영기기 카테고리에 대한 온.오프라인 상품 총괄 운영※ 취급품목: 음향기기 (이어폰, 헤드폰, 스피커, 오디오 등)                   촬영기기 (카메라, 앨션캠, 짐벌, 드론 등)- 경쟁사 동향 및 시장 트렌드 파악 및 분석, 중장기 판매 전략 수립- 카테고리 목표, 매출, 이익, 재고 분석 및 관리(상품기획, 매입, 정산외)- 매장 판매사원 상품교육/판매역량 향상- 신규 파트너사 발굴 및 입점- 온,오프라인 프로모션 기획 및 실행■ 필수요건- 대졸이상- 해당 카테고리 오프라인 or 온라인 MD 경력 8년 이상- 음향기기/촬영기기 상품에 대한 높은 이해도 및 관련업계 네트워크 보유- 파트너사와 원활한 커뮤니케이션 및 협상력 보유<우대>- 브랜드사 or 플랫폼 MD 경험- 직매입 상품 운영에 대한 전반적인 이해도- 오피스 사용력 (엑셀, 파워포인트)2. 음향MD 실무자급 (3-8년) - 1명■ 수행업무- 음향 카테고리에 대한 상품기획 및 운영※ 취급품목: 이어폰, 헤드폰, 스피커, 오디오 등- 카테고리 구매, 파내, 이익, 재고 관리 및 정산- 경쟁사 동향 및 시장 트렌드 파악- 매장 판매사원 상품교육/판매역량 향상- 파트너사 관리 및 프로모션 협의/실행■ 필수요건- 대졸이상- 해당 카테고리 오프라인 or 온라인 MD 경력 3년 이상- 음향 카테고리 상품에 대한 높은 이해도 및 관련업계 네트워크 보유- 파트너사와 원활한 커뮤니케이션 및 협상력 보유<우대>- 브랜드, 전문 유통채널 or 플랫폼 MD 경험- 직매입 상품 운영에 대한 전반적인 이해도- 오피스 사용력 (엑셀, 파워포인트)【 복리후생 】- 선택적 복리후생 (의료비, 자기계발비, 문화생활비 등 지원)- 경조금(결혼, 조의, 출산시에 경조 휴가와 경조금을 지원)- 기념일 지원(본인/배우자 생일, 결혼기념일)- 사우회(직원들의 상호부조와 복리증진을 위해 입사와 동시에 가입, 운영)- 교육비지원(자녀 학자금)- 단체보험(상해 및 암보험), 포상휴가- 건강검진(임직원 종합건강검진 매년 시행)






"
20,(주)트라이디,신입/경력(연차무관),, 경기도 김포시 유현로 242 409호 (풍무동)    ,드론,"총무·법무·특허, 일반사무·사무지원, 토목·조경·도시·측량","


공공측량,해양측량,지하시설물측량, 드론측량, 관리팀 신입/경력직 채용 - 인크루트 채용













공공측량,해양측량,지하시설물측량, 드론측량, 관리팀 신입/경력직 채용모집부문담당업무수로측량현장직/내업직(0명)담당업무(현장직)- 선박을 이용한 멀티빔 수심측량- 항만측량/항로측량/해안선측량- 해저면 탐사 및 인공어초 실태조사담당업무(내업직)- HIPS and SIPS/ Auto CAD지형현황측량. 지하시설물현장직(0명)담당업무- RTK를 이용한 현황측량- 정밀 수준측량 및 기준점측량- 초경량비행장치(UAV)를 이용한 3차원 지형도 제작- 지하시설물 조사 및 탐사관리팀(0명)담당업무- 계약관리 및 일반 행정업무- DB전산화 작업- 기술인력관리 및 교육관리- 제안서 작성 - 협회관리(공간정보산업협회, 한국해양조사협회 등)자격조건- 학력: 초대졸이상(학련무관)- 경력: 경력무관- 관련 학과 전공자 (토목공학과, 해양학과, 도시공학과, 항공학과 등)- 관련 자격증 보유자 우대 (측량및지형공간정보(산업)기사, 지적(산업)기사,정보처리(산업)기사, 측량기능사, 지도제작기능사, 등- 관련 프로그램 능숙자 (CAD, Global_mapper, QGIS, 포토샵 등)






"
21,(주)프로듀스드바이기억,신입,, 서울특별시 강남구 언주로172길 14 3층 (신사동) ,드론,광고·광고기획(AE),"


[(주)produced by ㄱ] TVCM 광고PD 신입(Line PD) 구합니다 - 인크루트 채용
















(주)프로듀스드바이기억
[(주)produced by ㄱ] TVCM 광고PD 신입(Line PD) 구합니다


프로덕션 기획실 신입/경력 모집




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




PD팀

[담당업무]광고PD / 광고제작[근무부서 및 직급/직책]근무부서: PD팀


[자격요건]경력사항: 신입/경력 Line PD학력사항: 학력무관직무기술: TVCF, 제작PD, 광고PD기타: 어도비 디자인 툴 사용 가능자

00 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: PD팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서포트폴리오


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
22,주식회사 제이티체인,경력(연차무관),"6,000~7,000"," 서울특별시 강남구 언주로130길 18 (논현동,동인빌딩) 4층 ",드론,"소프트웨어·하드웨어, 응용프로그래머, 전산·IT기술지원","


주식회사 제이티체인  개발자 / Back-end 채용공고 - 인크루트 채용
















주식회사 제이티체인
개발자 / Back-end 채용공고
(주) 제이티  체인은    서울 특별시     강 남구  논현동에   위치  하고   있으며  ,    블록  체인       솔루션  개  발과   기술    지원 ,   컨설팅 ,,   R  &  D 사업을     수행하고   있습니 다.        저희    제이티   체 인 은   블록   체인   생 태 계 를   위한   자  사 만의    독 보 적  인       컨 텐  츠  와    서  비 스 를       제 공 하 기   위해       도 약  하고   있   습  니 다.       다 수  의    블  록   체  인  의    구  축  역  량  과       탁  월  한    인  프  라 로      블  록  체  인      비 지  니 스  를    이 끌어   가는    다  목  적     B  l  o  c  k    c  h  a  i  n     B  u  s   i  n  e   s  s     A  g  e  n  c  y     '  제  이  티   체  인  '  과       함 께     블 록  체  인  의      혁  신  적  인   기  술  을     바  탕   으  로   함  께   성 장   할     인  재  를      채  용  하 고   있 으  니 ,    많  은   관 심    부  탁  드  립  니  다.   




모집부문 및 자격요건









개발자  /  Back-end







담당업무- 플랫폼 개발 및 유지보수- 다양한 블록체인 기능 연구/분석자격요건- NodeJS, NextJS 언어에 능숙하신 분 우대사항- 다양한 블록체인 기능 연구/분석  자격요건- 오픈소스 코드 분석 좋아하시는 분- 블록체인 오픈 소스 분석 경험자- AWS, Linux, Docker 사용에 능하신 분복리후생- 자사 전용 페쇄몰 이용가능 (디지털 / 가전 식품 할인가 +지원금)-건강검진 지원-여행/레저/리조트/호텔비 지원-교육/도서비 지원-경조사 (상조 및 이벤트 꽃배달 등)-피트니스 센터 비용지원-4대보험 가입-야근,휴일 근무수당-야근 교통비 지원-각종 경조금 및 경조 휴가제-조식,중식, 석식 지원  조식 8천원  중식,석식:1.2만원-명절 귀향비, 명절 선물비, 명절 보너스-연차/반차/반반차근무시간  시차근무제 (출근 시간에 맞춰 퇴근 8시간 근무, 주 40시간)- 재택근무 : 월 2회-연차 :1년이상 15개         1년미만 :1개월 만근시 다음달 1개지급-휴가: 6,7,8,9 월중 3일 사용-리프레쉬 데이  :   월1회 오전 휴무 (13시에 근무시작)                            매주 월,금 7시간 근무 (주 2시간 유급)









전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 >  최종합격추가 제출서류이력서, 자기소개서


접수방법
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
23,(주)프로듀스드바이기억,신입/경력(연차무관),, 서울특별시 강남구 언주로172길 14 3층 (신사동) ,드론,광고·광고기획(AE),"


[(주)produced by ㄱ] 기억에 남는 광고 만들분을 찾습니다. - 인크루트 채용

















(주)프로듀스드바이기억
[(주)produced by ㄱ] 기억에 남는 광고 만들분을 찾습니다.


프로덕션 기획실 신입/경력 모집




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




기획실(크리에이티브팀

[담당업무]브랜드 tvc 영상 기획(아이데이션)/아트/카피[근무부서 및 직급/직책]근무부서: 기획팀


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 학력무관기타: 어도비 디자인 툴 사용 가능자

00 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 기획팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서포트폴리오


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
