기업이름,담당업무,연봉,고용형태,키워드,기업주소,필요역량
(주)마젠타로보틱스,"응용프로그래머, 연구원·연구개발, 기계·금속·재료",,신입/경력(연차무관),로봇제어," 대전 유성구 가정로 218 13동 705호 (가정동,융합기술연구생산센터)    ","


필드 엔지니어(FAE/기술지원) 채용 - 인크루트 채용
















(주)마젠타로보틱스는 널리 사람을 이롭게 하는 로봇을 만드는 기업입니다.
마젠타로보틱스의 주요 서비서는 서비스로봇, Smart Factory,로봇 SW로 분류할 수 있으며 그 중 대표적인 제품으로는 서비스 로봇 GT 시리즈가 있습니다.(주)마젠타로보틱스
필드 엔지니어(FAE/기술지원) 채용




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




필드 엔지니어(FAE/기술지원) 채용(판교연구소)

- FAE / 기술 지원- 로봇 자동화 시스템- 장비 셋업 및 유지 보수- 로봇 제어


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 학력무관[우대사항]- 컴퓨터 / 시스템공학- 전기 / 전자공학- 기계공학/ 메카트로닉스- Linux, Ubuntu, Python 중 1개 이상 프로그래밍 유경험자- ROS / ROS2 유경험자
0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서(근무지): 경기도 성남시 분당구 판교로 289번길20, 3동2층 디지털 오픈랩 15,16호급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격이력서, 자기소개서


접수방법
2023-02-25 (토) 23시59분까지
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
쓰리핸즈,"소프트웨어·하드웨어, 응용프로그래머",,경력2~10년,로봇제어," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩) ","


[ Planning & Control Engineer ] 자율주행 로봇 배달 플랫폼 - 인크루트 채용

















[ Planning & Control Engineer ] 자율주행 로봇 배달 플랫폼
우리 회사를 한 줄로 표현해주세요
우리 회사에 대해 4줄 이내로 소개해주세요




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




Planning & Control Engineer

[담당업무]○ 실외 자율주행 로봇의 이동 경로 생성 알고리즘 개발○ 모바일 로봇의 모션 제어 시스템 개발○ 개발된 알고리즘 및 시스템에 대한 성능 향상 및 안정성 평가[제출서류]○ 이력서(경력기술서)○ 포트폴리오(면접 시 자기소개에 활용)○ Github / 논문 / 블로그(기술 스택을 알 수 있는 자료)


[자격요건]○ 컴퓨터 공학, 전기/전자 공학, 기계 공학 또는 관련 분야에서의 학사 또는 석사 학위○ 프로그래밍에 대한 우수한 이해와 경험○ C / C++ 프로그래밍 언어에 대한 이해○ ROS(로봇 운영체제) 또는 기타 로봇 프레임워크에 대한 경험[우대사항]○ 경로 계획 알고리즘 / 제어 시스템 개발 관련 경험○ Linux / Embedded 시스템에서의 개발 경험○ 다양한 센서에 대한 사용 경험○ 체계적인 문서 작업/관리 경험○ 영어 / 한국어에 대한 커뮤니케이션 스킬

0 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
(주)피플스카우트,"전자·반도체, 응용프로그래머",,경력5~15년,로봇제어, 서울특별시 마포구 삼개로 16 근신빌딩 2신관 501호 (도화동) ,"


[반도체용 로봇 제조사] 전장제어 그룹장 - 인크루트 채용













◈ 추천회사 소개- 국내 유명 반도체용 로봇 및 로봇 응용장비 개발 전문회사* 연 매출액: 500억원 / 사원수: 70명 ◈ 포지션- [반도체용 로봇 제조사]전장제어 그룸장 ◈ 담당 업무:* 직무
- PMAC Controller 제어 프로그램 개발 (PLC)
- Yaskawa Controller 제어 프로그램 개발 (PLC)
- 윈도우 응용프로그램 개발
- 전장 관련 업무 지휘 * 업무내용
- PMAC 환경 장비제어 프로그램
- Yaskawa PLC 프로그램
- C++/C# 등 PC 제어 프로그램
- 전장팀, 제어팀 지휘 관리  ◈ Requirement capability- 4년제 대졸 이상자- 경력: PC, PLC 프로그램 개발 경력 5년 -15년차 이내자- 전공: 제어공학, 계측제어,로봇공학, 기계공학, 메카트로닉스 등 관련 전공자* 필요지식/기술 - 프로그램 개발
- 전장(배선, 부품)지식 보유 - 이직이 잦지 않는 자[우대사항]- Visual studio 유경험자 (C++, C#, etc)
- 전장설계등 기본적인 전장관련 지식 보유 - 최종 합격 후 빠른 시일 내 출근 가능자  [근무지]경기도 성남시 중원구 소재  ◈제시 연봉 : 경력에 따라 협의(5,000만원 -1억원 선) ◈ 제출서류  - <이력서 및 자기소개서, 경력기술서> /(국문) 1 파일로 제출요망  - 포토폴리오(해당자에 한함)  - 이력서 제출시 최종연봉,희망연봉 필수 기재, 문서이름은 “지원분야-성명”으로 표기  - 경력기술서 작성시 보유기술 및 경험직무에 대해서 상세 기술 요망  ◈ 제출기한 및 근무가능일 : ASAP(채용시 마감) ◈ 접수방법 ; [담당자 : 임정우 본부장]- e-mail 접수 : hunter@peoplescout.co.kr******@*******.*** - 제출기한 : 선착순 E-mail 접수 분에 한합니다.- 전화문의 : ***-****-**** / ***-****-****- 합격통보 : 합격자에 한하여 개별 연락드리오니 양해바랍니다.






"
(주)마젠타로보틱스,"응용프로그래머, 소프트웨어·하드웨어, 빅데이터·AI(인공지능)",,신입/경력(연차무관),로봇제어," 대전 유성구 가정로 218 13동 705호 (가정동,융합기술연구생산센터)    ","


판교 연구소 필드 엔지니어(FAE/기술지원) 채용공고 - 인크루트 채용
















(주)마젠타로보틱스는 널리 사람을 이롭게 하는 로봇을 만드는 기업입니다.
(주)마젠타로보틱스
판교 연구소 필드 엔지니어(FAE/기술지원) 채용공고 
 주요 서비스는 서비스로봇, Smart Factory, 로봇 SW로 분류할 수 있으며 그 중 대표적인 제품으로는 서비스 로봇 GT 시리즈가 있습니다.




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




필드엔지니어(FAE/기술지원)

[담당업무]-FAE/ 기술지원-로봇자동화 시스템장비 Set up 및 유지보수-로봇제어[근무부서 및 직급/직책]근무부서: 부설연구소(판교)직급/직책: 연구원, 선임연구원


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 학력무관[우대사항]- 컴퓨터/시스템공학, 전기/전자공학, 기계공학/ 메카트로닉스 - Linux, Ubuntu, Python 중 1개 이상 프로그래밍 유경험자 - ROS/ROS2 유경험자

00 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 부설연구소(판교)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
2023-02-25 (토) 23시59분까지
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
(주)피플스카우트,전자·반도체,,경력5~15년,로봇제어, 서울특별시 마포구 삼개로 16 근신빌딩 2신관 501호 (도화동) ,"


[반도체용 로봇 제조사]전장제어(PC/PLC)/ 팀장 1명, 팀원 1명 - 인크루트 채용













◈ 추천회사 소개- 국내 유명 반도체용 로봇 및 로봇 응용장비 개발 전문회사* 연 매출액: 500억원 / 사원수: 70명 ◈ 포지션- [반도체용 로봇 제조사]전장제어(PC/PLC)/ 팀장 1명, 팀원 1명 ◈ 담당 업무:* 직무  - PMAC Controller 제어 프로그램 개발 (PLC) - Yaskawa Controller 제어 프로그램 개발 (PLC)
- 윈도우 응용프로그램 개발* 업무내용 - PMAC 환경 장비제어 프로그램  - Yaskawa PLC 프로그램
- C++/C# 등 PC 제어 프로그램 ◈ Requirement capability- 4년제 대졸 이상자- 경력: PC, PLC 프로그램 개발 경력 5년 -15년차 이내자- 전공: 제어공학, 계측제어,로봇공학, 기계공학, 메카트로닉스 등 관련 전공자* 필요지식/기술 - 프로그램 개발
- 전장(배선, 부품)지식 보유 - 이직이 잦지 않는 자[우대사항]- Visual studio 유경험자 (C++, C#, etc)
- 전장설계등 기본적인 전장관련 지식 보유 - 최종 합격 후 빠른 시일 내 출근 가능자  [근무지]경기도 성남시 중원구 소재  ◈제시 연봉 : 경력에 따라 협의(5,000만원 -1억원 선) ◈ 제출서류  - <이력서 및 자기소개서, 경력기술서> /(국문) 1 파일로 제출요망  - 포토폴리오(해당자에 한함)  - 이력서 제출시 최종연봉,희망연봉 필수 기재, 문서이름은 “지원분야-성명”으로 표기  - 경력기술서 작성시 보유기술 및 경험직무에 대해서 상세 기술 요망  ◈ 제출기한 및 근무가능일 : ASAP(채용시 마감) ◈ 접수방법 ; [담당자 : 임정우 본부장]- e-mail 접수 : hunter@peoplescout.co.kr******@*******.*** - 제출기한 : 선착순 E-mail 접수 분에 한합니다.- 전화문의 : ***-****-**** / ***-****-****- 합격통보 : 합격자에 한하여 개별 연락드리오니 양해바랍니다.






"
로보트로,"기계·금속·재료, 전자·반도체",,경력(연차무관),로봇제어," 경기도 부천시 평천로 655 (약대동,부천테크노파크4단지) 401동 902호 로보트로 ","


기계설계, 메카트로닉스 외 경력 정규직 채용 - 인크루트 채용
















로보트로
기계설계, 메카트로닉스 외 경력 정규직 채용



모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무][기계·설계·로봇·메카트로닉스]- 관련학과 졸업자 또는 자격증 소지자 우대 - 기계설계, 기계공학, 자동화분야 등 공학계열 관련학과 졸업자- 산업용 로봇 기구 설계- 생산설비, 생산기술/제조기술 유경험자- 기구설계/전장제어설계 유경험자- CAD 설계 및 도면 해독 가능자[근무부서 및 직급/직책]근무부서: 로봇 개발팀


[자격요건]경력사항: 경력(연차무관)학력사항: 대학(2,3년)졸업 이상직무기술: 기구설계, 메카트로닉스, CAD기타: [기계·설계·로봇·메카트로닉스]- 관련학과 졸업자 또는 자격증 소지자 우대 - 기계설계, 기계공학, 자동화분야 등 공학계열 관련학과 졸업자- 산업용 로봇 기구 설계- 생산설비, 생산기술/제조기술 유경험자- 기구설계/전장제어설계 유경험자- CAD 설계 및 도면 해독 가능자[우대사항]전공계열: 공학계열우대사항: 인근거주자

0 명





근무조건
고용형태: 정규직근무부서: 로봇 개발팀인근전철역: 서울7호선 부천시청 (4번 출구에서 1km이내), 서울1호선 송내 (2번 출구에서 3km이내)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서에 연락처, 희망연봉 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일, 전화/휴대폰접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
(주)프로매치코리아,"연구원·연구개발, 전자·반도체",,경력(연차무관),로봇제어," 서울특별시 강남구 테헤란로 333 10층 (역삼동,신도벤처타워) ","


로봇응용장비 개발사의 콘트롤러 제어SW개발 대리-차부장 팀장급 3명 - 인크루트 채용













* 인쿠르트 사﻿용하시는 분들 지원시 필수사항!!!  아직도 온라인 지원만 하시는 분이 있습니다. 인쿠르트 파일은 에러가 나오니 지원전에 문자(이메일주소)나 이메일로   연락주시면 지원서를 송부드리겠습니다.(반드시 지켜주셔야 선택을 받습니다)  신속 진행을 위해 반드시 준수 부탁합니다. ***MS-WORD지원서가 필요합니다.메일 지원시 고객사번호,포지션명 기술 (예 : C29-01 해외영업)[등록일 : 12.28] - 미 채용시 최대 2개월까지 진행(지원전 사전에 문자나 이메일주소 부탁-지원서 발송건)* 연 단위로 이직횟수 많은 분은 지원 불가, 반드시 경력 매치되는 분만 지원 요망반도체용 로봇 및 로봇 응용장비 개발/제조사 채용건입니다.반도체·디스플레이·광학    사원수 70명    설립일 1997(27년차)주요사업 : 반도체용 로봇 및 로봇 응용장비 개발/제조근무지 : 성남시 상대원동 본사아래 내용을 클릭하시면 상세 채용 요건을 보실 수 있습니다.==>C02-23 반도체용 로봇 응용장비 개발/제조기업의 콘트롤러 제어SW개발 대리-차부장급 3명* 제출서류1) 지원서 양식 (MS-word파일) - 연락주시는 분께 지원서 양식 송부드립니다.​이직 적은분 필수 : 인쿠르트 지원은 연락할 수 없습니다. (이력서 에러)-문자나 이메일로 연락주시는분에게 지원서 양식을 송부드립니다.지원서에 현재 및 최종 연봉/희망연봉/핵심역량, 경력 회사별 간략소개, 회사별 이직사유 명기 필수----------------------------------------------------------------------------""사람과 사업을 가치있게 하는 기업!""                            Active HR!----------------------------------------------------------------------------프로매치코리아 대표  송  찬 영***-****-****-e6947abcac72"">HR컨설팅사업부 / 대표컨설턴트                     H.P : ***-****-****E-mail : loveyou@promatch.co.kr******@*******.*** Home : http://www.promatch.co.kr               서울시 강남구 테헤란로 333, 신도벤처타워 10층----------------------------------------------------------------------------
문자나 상기 이메일로 연락주시면 지원서를 송부드리겠습니다.-지원 이력서를 회사 매치포지션 번호와 함께 저의 메일로 보내 주시면 되겠습니다. 이후 지원서를 검토후 상담드리겠습니다PDF파일이나 인쿠르트 이력서로 온라인 지원하시면 상담이 불가합니다.







"
(주)프로매치코리아,"전자·반도체, 구매·자재, 응용프로그래머",,경력(연차무관),로봇제어," 서울특별시 강남구 테헤란로 333 10층 (역삼동,신도벤처타워) ","


IT서비스기업 물류자동화 SCM,SAP ABAP MM,PP 개발,운영/로봇 제어 엔지니어/JAVA 솔루션 R - 인크루트 채용













[등록일 : 01.19] - 미 채용시 최대 2개월까지 진행(지원전 사전에 문자로 이메일주소 부탁-지원서 발송건)* 연 단위로 이직횟수 많은 분은 지원 불가, 반드시 경력 매치되는 분만 지원 요망동사는 2000년대 설립한 000그룹 계열사로서, IT서비스 및 물류자동화를 지원하는 종합엔지니어링 회사입니다. 디지털 솔루션 기업으로 영향력을 확장하고 있습니다.​A.물류 SCM PL 과장급- 자사 솔루션 기반 고객사 물류관리시스템 구축- 개발리딩, 업무분석/설계, DB설계(엔티티 레벨)[필수자격]- 개발 경력 6년 이상 (Java)- 업무 분석/설계 가능자  (공공사업, SI사업, 물류사업 무관)- WMS, TMS, OMS 개발 경험자[우대자격]- DB 이해도/경험 높은 사람 우대* 고객사 프로젝트에 따라 출장이 발생할 수 있음​B.SAP ABAP MM,PP 개발,운영 대리-과장급- 그룹사 SAP 시스템 운영/개발 (MM or PP 모듈)[필수자격] - ABAP 개발 경력 3년 이상 - 관련 모듈 경험자(MM,PP 中 1개 모듈 이상) - Configuration 및 ABAP 개발 가능자[우대자격] - SM업무 경험자 우대​C.로봇 제어 엔지니어 과차장급- 로봇 제어 프로그래밍  (수직 다관절 로봇/물류 이송 로봇 등)- 모터 제어 알고리즘 설계 및 개발- ROS기반 각종 센서 장치 드라이버 개발- 물류 자동화 시스템 구축 및 개발[필수자격] - 관련 경력 10년 이상   ※ 경력에 따라 팀장 직급으로도 채용 가능[우대자격]- Robotics 분야 개발에 능통한 자- Embedded System 구성 및 소프트웨어 개발 경력자- ROS/ROS2 이용 로봇 SW 개발 경험 보유자- AI관련 경험자학사이상(석사 이상우대)/ 메카트로닉스,로봇,제어,전자 관련 전공 우대​D.JAVA 솔루션 R&D 과차장급 2명- 자사 솔루션 R&D(연구개발) 및 기능개선[필수자격]- 10년 이상의 프로그래밍 관련 경험- JAVA, javascript, JQuery 등의 프로그래밍 언어 사용 능력- Spring(Spring boot), iBatis 등 프레임워크 사용 경험- DB 및 SQL, PL/SQL 사용 경험자[우대자격]- vue.js  사용 경험- 솔루션 구축, 개발 경험- CI/CD 구축 경험- 시스템 간 인터페이스 개발 경험​서류전형-코딩테스트-1차면접-인성검사-2차면접(채용검진)-처우협의-최종합격​근무지 : 판교(본사)아래를 클릭하시면 상세 채용 요건을 보실 수 있습니다.(추가 기업들 포지션 포함)==>C101-05 IT서비스,물류자동화 기업의 물류 SCM,SAP ABAP MM,PP 개발,운영/로봇 제어 엔지니어/JAVA 솔루션 R&D 과차장급 5명이직 적은분 필수 : 인쿠르트 지원은 연락할 수 없습니다. (이력서 에러)-문자로 이메일주소 연락주시는분에게 지원서 양식을 송부드립니다.지원서에 현재 및 최종 연봉/희망연봉/핵심역량, 경력 회사별 간략소개, 회사별 이직사유 명기 필수----------------------------------------------------------------------------""사람과 사업을 가치있게 하는 기업!""                            Active HR!----------------------------------------------------------------------------프로매치코리아 대표  송  찬 영***-****-****-e6947abcac72"">HR컨설팅사업부 / 대표컨설턴트                     H.P : ***-****-****E-mail : loveyou@promatch.co.kr******@*******.*** Home : http://www.promatch.co.kr               서울시 강남구 테헤란로 333, 신도벤처타워 10층----------------------------------------------------------------------------







"
주식회사리얼게인,"기계·금속·재료, 원자력·우주·조선·철강, 연구원·연구개발",,신입/경력(연차무관),로봇제어," 경기도 안양시 만안구 덕천로152번길 25 B동 13층 (안양동,아이에스비즈타워센트럴) ","


기술연구소, 기계설계 외 신입/경력  채용 - 인크루트 채용

















원자력발전소 계측제어설비 국산화에 앞장서는
주식회사 리얼게인
기술연구소, 기계설계 외 신입/경력  채용




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




기술연구소HW개발연구원[담당업무]HW 연구 개발- 신입 및 경력 ( ○명 )담당업무 (신입)ㆍ하기 업무 중 일부 수행 가능자 지원 가능 - 아날로그 회로설계 - 디지털 회로설계- Stm32 등 임베디드 시스템  개발자 - Altera FPGA 또는 자이링스 FPGA 개발자   - Actel FPGA 개발자자격요건 ㆍ학력 : 이공계 학ㆍ석ㆍ박사 학위 취득 5년 이내인 분 (당해 졸업예정자 가능)ㆍ경력 : 경력무관우대사항ㆍ원자력 계측제어 업무 유경험자ㆍ관련 자격증 보유자ㆍ관련 학과 전공자ㆍ자격증 : 전기기사, 전기공사기사, 전기산업기사, 전기공사산업기사ㆍ전공 : 기계·메카트로닉스·로봇, 전기·전자공학, 제어계측공학담당업무 (경력)ㆍ하기 업무 중 일부 수행 가능자 지원 가능 - 아날로그 회로설계 - 디지털 회로설계- Stm32 등 임베디드 시스템  개발자 - Altera FPGA 또는 자이링스 FPGA 개발자- Actel FPGA 개발자자격요건ㆍ학력 : 이공계 학ㆍ석ㆍ박사 학위ㆍ경력 : 학위 취득 후 연구/개발경력이 학사 5년, 석사 3년, 박사(경력무관) 이상인 분우대사항ㆍ원자력 계측제어 업무 유경험자ㆍOrcad 사용가능자ㆍPads 사용가능자ㆍSCI 등재 논문작성 경험자 ㆍ관련 자격증 보유자ㆍ관련 학과 전공자ㆍ자격증 : 전기기사, 전기공사기사, 전기산업기사, 전기공사산업기사ㆍ전공 : 전기공학, 전자공학, 제어계측공학 전공자[자격요건]경력사항: 신입, 경력()학력사항: 대학교(4년)졸업 이상[우대사항]자격증: 전기기사, 전기공사기사, 전기산업기사, 전기공사산업기사전공 : 기계·메카트로닉스·로봇, 전기·전자공학, 제어계측공학00 명  기술연구소SW개발연구원[담당업무]담당업무 (신입)ㆍ하기 업무 중 일부 수행 가능자 지원 가능- 국책과제 수행 - C#, C++ 기반 응용 S/W 개발- Windows 응용프로그래밍 개발- Labview 기반 S/W 개발 - Stm32 등 임베디드 S/W 개발자자격요건ㆍ학력 : 이공계 학ㆍ석ㆍ박사 학위 취득 5년 이내인 분 (당해 졸업예정자 가능)ㆍ경력 : 경력 무관우대사항ㆍMFC 기반 소프트웨어 개발자ㆍ컴퓨터활용능력 우수자ㆍ운전가능자ㆍ프리젠테이션 능력우수자ㆍ관련 자격증 보유자 : 정보처리기사, 정보처리산업기사, 전기기사ㆍ관련 학과 전공자 : 전기·전자공학, 전산학·컴퓨터공학, 응용소프트웨어공학담당업무 (경력) ㆍ하기 업무 중 일부 수행 가능자 지원 가능- 국책과제 수행 - C#, C++ 기반 응용 S/W 개발- Windows 응용프로그래밍 개발- Labview 기반 S/W 개발 - Stm32 등 임베디드 S/W 개발자ㆍ학력: 이공계 학ㆍ석ㆍ박사 학위ㆍ경력 : 학위 취득 후 연구경력이 학사 10년, 석사 7년, 박사 3년 이상인 자[필수조건]ㆍC/C++ 프로그래밍 경험 필수ㆍWindows 상에서 각종 프로그램 개발 경험자[우대조건]ㆍ원자력 발전소 관련 업무 유경험자[자격요건]경력사항: 신입, 경력()학력사항: 대학교(4년)졸업 이상[우대사항]자격증: 정보처리기사, 정보처리산업기사, 전기기사관련 학과 전공자 : 전기·전자공학, 전산학·컴퓨터공학, 응용소프트웨어공학00명원자력발전소 계측설비정비 엔지니어

[담당업무]원자력발전소 계측제어설비 정비 엔지니어


자격요건ㆍ학력 : 고졸이상ㆍ경력 : 신입·경력1년↑우대사항ㆍ인근거주자ㆍ운전가능자ㆍ관련 자격증 보유자ㆍ유관업무 경력자 (3년)ㆍ군필자ㆍ자격증 : 전기산업기사, 전기기능사, 통신산업기사

00 명





근무조건
고용형태: 정규직(수습기간3개월)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
2023-02-24 (금) 23시59분까지
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
(주)조인스에이치알코리아,"연구원·연구개발, 응용프로그래머",,경력3년↑,로봇제어,"서울 서초구 서운로 160, 306호 팔레스빌딩 306호 ","


자동차 센서부품 초음파 센서 Software 개발 - 인크루트 채용

















우리 회사를 한 줄로 표현해주세요
(주)조인스에이치알코리아
자동차 센서부품 초음파 센서 Software 개발
우리 회사에 대해 4줄 이내로 소개해주세요




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




자동차 초음파센서 소프트웨어개발

[담당업무]- 거리감지용 초음파 센서 S/W 개발     (전장용 초음파 센서 모듈, 제어기) - IoT용 센서 모듈 S/W 개발    (주차제어용 센서, 시큐리티용 센서) - 산업용 센서 S/W 개발 (안전센서, 로봇 제어용 센서) - 차량용 제어기 SW 설계 - MCU, CAN/LIN 통신 제어 경험 - C언어 기반의 Embedded S/W (Firmware) 개발 가능자[근무부서 및 직급/직책]직급/직책: 사원, 대리, 과장, 차장


[자격요건] - 관련경력 3년 이상자 - 학력사항: 학력무관- C언어 활용 가능자 - LIN, DSI3, UART, I2C, 485, PLC    통신 제어 경험[우대사항]
 - 관련분야 석사급 전공자 - ISO26262 기능안전 기반 설계 경험자 - ADAS 분야 양산 개발 경험자 - IATF16949, VDA6.3 (A-Spice) 기반 개발 프로세스 실무 경험자 - 영어 우수자
00 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서, 자사양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
(주)피플케어코리아,응용프로그래머,,경력7년↑,로봇제어," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층 ","


ROBOT HW/FW개발 (대리-과장급) - 대기업 계열사 - 인크루트 채용













【 포지션 및 업무 】- SE장비 SW개발 (사원-대리급)* 업무 내용    1.  전자회로/전력전자회로/필터 설계    2  .서보 드라이브 회로 설계    3.  MCU(DSP, ARM(M3, M4))를 이용한 Firmware 개발    4.  Motor 제어[필요 보유 기술] 1. C, 전기전자, 디지털 공학, 회로 이론 관련 지식 보유 2. OrCAD 사용 가능자 3. VHDL Code 해석 및 활용 가능자 4. ArtWork(PADs) Tool 사용 가능자 5.관련 경력 7년 이상(석사는 5년 이상)[ 우대 사항] 1. 관련 분야 석/박사 학위 보유자 2. Firmware 개발 업무 경험자 3. 로봇 Hardware 회로 설계 경험자 4. EMC 고려한 회로 설계 경험자 5. Analog 및 Digital 회로 해석 경험자경기도 안산
*전형방법 :
1차 서류전형
2차 면접전형

*제출서류 :
- MS-WORD 국문 이력서, 자기소개서 (각종 증빙서류는 서류전형합격자에 한해 추후제출)


이메일: jesica@peoplecare.co.kr******@*******.***
채용담당 : JESSICA 팀장 ( ***-****-**** /  )








"
(주)잡뉴스솔로몬서치,"기계·금속·재료, 연구원·연구개발",,경력5년↑,로봇제어," 서울특별시 서초구 방배로 39 1층 104호 (방배동,미주빌딩) ","


로봇 설계 개발 엔지니어 (경력 5년이상) - IT 서비스 전문기업, 그룹 계열사 - 인크루트 채용













[의뢰사]- IT 서비스 전문기업, 그룹 계열사- 한국타이어 그룹,  IT 서비스 및 물류 안정화 지원 종합엔지니링 기업- 회사위치/ 근무지 : 경기도 판교 [채용내용]1. 채용부문 :     - 로봇 설계 개발 엔지니어2. 담당업무 :    - 로봇 엔지니어    - 로봇 설계 전반 실무    - 로봇 제어 S/W 개발    - 로봇 H/W 설계 및 제작 R&D    - 인공지능 활용 응용기술 개발3. 채용직급 :    - 경력에 따라 결정4. 자격요건 :    - 4년제 대졸 이상 및 이공계열, 로봇관련 전공자 (석사 이상 우대)     - 로봇 설계/ 개발 5년이상 경력자    - 우대사항 :       * 물류 자동화 로봇 분야 경험자       * ROS/ Vision/ AI 업무 경험자       * 다관절 로봇 지식 보유자            5. 회사위치/ 근무지 :    - 경기도 판교 [전형방법]- 서류전형- 면접전형, 서류전형 합격자에 한하여 개별 통보[제출서류]- 한글이력서 : 사진첨부 및 희망직급, 희망연봉, 연락처 등 기재- 한글경력 및 자기소개서 : 경력 상세 작성- MSword 파일로 작성 [지원방법]- Online 시스템 지원 : Incruit- e-Mail 지원 : jirhee@jobnews.co.kr******@*******.*********@*******.***,  jaeinrhee@naver.com******@*******.*********@*******.***[근무여건]- 회사위치/ 근무지 : 경기도 판교 - 직급 및 연봉 : 면접시 경력에 따라 협의 결정- 회사복지 : 최고 수준==============================================================- (주)잡뉴스 H.R.Consulting  솔로몬서치- `미래와 신뢰`를 약속드리는 컨설턴트 이사 이 재 인- 전화 연락처 : 070-7712-9378,  ***-****-****                             - e-Mail : jirhee@jobnews.co.kr******@*******.*********@*******.***,  jaeinrhee@naver.com******@*******.*********@*******.***






"
